Date,Low,Open,Volume,High,Close,Adjusted Close
22-02-1994,7.25,7.375,20800,7.375,7.25,4.517632007598877
23-02-1994,6.75,7.125,31600,7.125,6.9375,4.322903633117676
24-02-1994,6.8125,6.9375,32000,6.9375,6.8125,4.2450151443481445
25-02-1994,6.25,6.6875,49800,6.6875,6.4375,4.011345386505127
28-02-1994,6.4375,6.5,170400,6.75,6.625,4.128180503845215
01-03-1994,6.5,6.625,41600,6.625,6.5625,4.089236736297607
02-03-1994,6.4375,6.4375,67000,6.5625,6.5625,4.089236736297607
03-03-1994,6.5,6.625,27800,6.625,6.5,4.050290584564209
04-03-1994,6.4375,6.5,358200,6.75,6.75,4.2060699462890625
07-03-1994,6.4375,6.4375,690800,6.8125,6.75,4.2060699462890625
08-03-1994,6.75,6.75,515200,6.8125,6.8125,4.2450151443481445
09-03-1994,6.8125,6.8125,540400,6.875,6.875,4.283962726593018
10-03-1994,6.8125,6.875,1832200,6.875,6.875,4.283962726593018
11-03-1994,6.9375,6.9375,1895400,7.1875,7.1875,4.478683948516846
14-03-1994,7.1875,7.1875,1413800,7.625,7.5625,4.712355136871338
15-03-1994,7.4375,7.5625,1665200,7.6875,7.4375,4.634463787078857
16-03-1994,7.3125,7.4375,717000,7.4375,7.4375,4.634463787078857
17-03-1994,7.4375,7.4375,971200,7.6875,7.5625,4.728249549865723
18-03-1994,7.625,7.625,1178000,7.6875,7.625,4.767324447631836
21-03-1994,7.625,7.625,659400,7.6875,7.6875,4.806403636932373
22-03-1994,7.6875,7.6875,374000,7.875,7.8125,4.884555816650391
23-03-1994,7.75,7.8125,430200,7.9375,7.875,4.923633098602295
24-03-1994,7.75,7.8125,747000,7.875,7.75,4.845479488372803
25-03-1994,7.625,7.8125,370000,7.8125,7.6875,4.806403636932373
28-03-1994,7.625,7.6875,1116200,7.6875,7.625,4.767324447631836
29-03-1994,7.5,7.625,595800,7.6875,7.5,4.689175605773926
30-03-1994,7.3125,7.5,653000,7.5,7.375,4.611019134521484
31-03-1994,7.25,7.375,448400,7.4375,7.375,4.611019134521484
04-04-1994,7.125,7.125,386600,7.375,7.375,4.611019134521484
05-04-1994,7.3125,7.3125,361600,7.6875,7.625,4.767324447631836
06-04-1994,7.375,7.625,551400,7.6875,7.375,4.611019134521484
07-04-1994,7.375,7.5,338400,7.5,7.4375,4.6500959396362305
08-04-1994,7.3125,7.3125,166000,7.5,7.5,4.689175605773926
11-04-1994,7.25,7.5,424800,7.625,7.25,4.532865047454834
12-04-1994,7.125,7.125,602800,7.25,7.125,4.454714298248291
13-04-1994,7.0,7.125,504600,7.3125,7.0,4.376559734344482
14-04-1994,6.9375,7.0625,378200,7.0625,6.9375,4.337484359741211
15-04-1994,6.875,6.875,197600,7.0625,6.875,4.298410415649414
18-04-1994,7.0,7.0,184800,7.25,7.25,4.532865047454834
19-04-1994,7.1875,7.1875,122200,7.3125,7.25,4.532865047454834
20-04-1994,7.125,7.3125,201400,7.3125,7.125,4.454714298248291
21-04-1994,6.875,7.125,858200,7.3125,6.875,4.298410415649414
22-04-1994,7.0,7.0,411400,7.25,7.25,4.532865047454834
25-04-1994,7.1875,7.1875,330600,7.625,7.625,4.767324447631836
26-04-1994,7.25,7.5625,313400,7.5625,7.375,4.611019134521484
28-04-1994,7.125,7.3125,161600,7.3125,7.3125,4.5719428062438965
29-04-1994,7.1875,7.25,344600,7.3125,7.25,4.532865047454834
