Date,Low,Open,Volume,High,Close,Adjusted Close
18-08-1998,12.875,12.875,5783000,13.125,13.0,9.67146110534668
19-08-1998,13.0,13.0,388700,13.25,13.0,9.67146110534668
20-08-1998,13.0,13.125,348500,13.25,13.0,9.67146110534668
21-08-1998,13.0,13.0,804000,13.0,13.0,9.67146110534668
24-08-1998,13.0,13.0,119700,13.0,13.0,9.67146110534668
25-08-1998,12.875,13.0,294100,13.0,13.0,9.67146110534668
26-08-1998,12.125,13.0,383800,13.0,12.25,9.113492965698242
27-08-1998,10.75,12.25,435300,12.375,11.125,8.276540756225586
28-08-1998,10.0,11.375,192400,11.375,10.0,7.439587593078613
31-08-1998,7.625,10.0,150800,10.125,8.125,6.0446648597717285
01-09-1998,6.6875,8.25,440700,9.0,8.5,6.323647499084473
02-09-1998,8.5,8.5,509200,10.5,9.5625,7.114102363586426
03-09-1998,8.5,9.75,165900,9.75,8.75,6.509636402130127
04-09-1998,8.125,9.0,155700,9.0,8.375,6.230653285980225
08-09-1998,8.75,9.0,149300,10.0,9.875,7.346590518951416
09-09-1998,9.5,9.875,116900,10.0,9.5,7.067605018615723
10-09-1998,9.0,9.375,80700,9.375,9.25,6.881617546081543
11-09-1998,9.0,9.3125,84800,9.375,9.0,6.695626735687256
14-09-1998,9.0,9.25,90800,9.625,9.0,6.695626735687256
15-09-1998,8.625,9.125,200400,9.25,8.75,6.509636402130127
16-09-1998,7.75,8.75,221300,8.75,7.875,5.858673572540283
17-09-1998,7.875,7.875,87300,8.625,8.28125,6.160906791687012
18-09-1998,7.75,8.375,147300,8.6875,8.25,6.137658596038818
21-09-1998,6.875,7.875,472900,8.0,7.0,5.207711696624756
22-09-1998,7.0625,7.125,728300,8.125,8.0,5.951669216156006
23-09-1998,8.0,8.25,382500,8.625,8.375,6.230653285980225
24-09-1998,8.5,8.5,280800,9.375,9.0625,6.742123603820801
25-09-1998,8.75,8.75,44400,9.4375,9.375,6.974612236022949
28-09-1998,9.375,9.5,26500,9.875,9.375,6.974612236022949
29-09-1998,9.25,9.5,88300,9.75,9.53125,7.090853691101074
30-09-1998,9.375,9.5,172300,10.0625,9.625,7.160600662231445
01-10-1998,8.875,9.625,85500,9.625,8.875,6.60263204574585
02-10-1998,8.875,8.875,58700,9.25,8.875,6.60263204574585
05-10-1998,8.0,8.75,63000,8.875,8.0,5.951669216156006
06-10-1998,8.0,9.0,129500,9.125,8.375,6.230653285980225
07-10-1998,7.8125,8.375,340400,8.625,7.8125,5.8121747970581055
08-10-1998,6.0,7.75,346800,7.8125,6.3125,4.6962385177612305
09-10-1998,6.125,7.0,271500,7.125,6.25,4.649740695953369
12-10-1998,6.0,6.5,660400,6.5,6.25,4.649740695953369
13-10-1998,6.25,6.25,228600,7.5,7.0,5.207711696624756
14-10-1998,6.875,6.875,46400,7.625,7.625,5.672684192657471
15-10-1998,7.375,7.5,44100,7.625,7.5625,5.626186847686768
16-10-1998,7.5,7.8125,421600,8.375,7.875,5.858673572540283
19-10-1998,8.0,8.125,50600,8.5625,8.5625,6.370144367218018
20-10-1998,8.5,8.625,354800,9.5,9.375,6.974612236022949
21-10-1998,9.4375,9.4375,156000,10.375,10.0,7.439587593078613
22-10-1998,10.0,10.125,134600,11.5,11.4375,8.509026527404785
23-10-1998,11.375,11.625,411400,13.125,13.0,9.67146110534668
26-10-1998,12.625,13.0,125500,13.0,12.75,9.485471725463867
27-10-1998,12.375,12.875,417500,13.375,12.4375,9.252984046936035
28-10-1998,12.25,12.375,53000,12.75,12.75,9.485471725463867
29-10-1998,11.75,12.625,280000,13.0625,12.0,8.92750358581543
30-10-1998,11.875,12.0,198600,12.875,12.875,9.57846450805664
02-11-1998,12.625,12.9375,105900,13.3125,12.875,9.57846450805664
