Date,Low,Open,Volume,High,Close,Adjusted Close
29-03-1990,28.75,28.75,840,28.75,28.75,26.920764923095703
30-03-1990,30.0,30.0,15440,31.875,31.875,29.846940994262695
02-04-1990,28.125,28.125,40,28.125,28.125,26.335540771484375
03-04-1990,28.125,28.125,0,28.125,28.125,26.335540771484375
04-04-1990,31.875,31.875,40,31.875,31.875,29.846940994262695
05-04-1990,30.3125,31.875,1480,31.875,30.9375,28.969087600708008
06-04-1990,30.9375,30.9375,0,30.9375,30.9375,28.969087600708008
09-04-1990,31.25,31.25,200,31.25,31.25,29.261709213256836
10-04-1990,28.125,31.25,8760,31.875,29.0625,27.21338653564453
11-04-1990,26.875,28.125,4080,28.125,27.5,25.75029945373535
12-04-1990,27.5,27.5,200,28.75,27.5,25.75029945373535
16-04-1990,27.5,27.5,160,30.625,30.625,28.676469802856445
17-04-1990,27.5,30.625,800,30.625,27.5,25.75029945373535
18-04-1990,27.5,27.5,80,27.5,27.5,25.75029945373535
19-04-1990,27.5,27.5,0,27.5,27.5,25.75029945373535
20-04-1990,26.875,26.875,80,26.875,26.875,25.165067672729492
23-04-1990,26.875,26.875,0,26.875,26.875,25.165067672729492
24-04-1990,26.875,26.875,1480,26.875,26.875,25.165067672729492
25-04-1990,26.875,26.875,0,26.875,26.875,25.165067672729492
26-04-1990,27.1875,27.1875,2520,27.5,27.5,25.75029945373535
27-04-1990,26.875,27.5,2160,27.5,26.875,25.165067672729492
30-04-1990,27.8125,27.8125,960,27.8125,27.8125,26.04292106628418
01-05-1990,27.8125,27.8125,0,27.8125,27.8125,26.04292106628418
02-05-1990,27.5,27.5,40,27.5,27.5,25.75029945373535
03-05-1990,27.5,27.5,12400,28.125,27.5,25.75029945373535
04-05-1990,27.5,27.5,800,27.8125,27.8125,26.04292106628418
07-05-1990,27.5,27.8125,4000,28.125,28.125,26.335540771484375
08-05-1990,27.5,28.125,4200,28.125,28.125,26.335540771484375
09-05-1990,27.5,28.125,4000,28.125,28.125,26.335540771484375
10-05-1990,28.125,28.125,0,28.125,28.125,26.335540771484375
11-05-1990,27.5,28.125,2600,30.0,27.5,25.75029945373535
14-05-1990,27.5,27.5,920,28.75,28.75,26.920764923095703
15-05-1990,30.0,30.0,880,30.0,30.0,28.09123992919922
16-05-1990,27.5,30.0,400,30.0,28.75,26.920764923095703
17-05-1990,27.5,27.5,400,27.5,27.5,25.75029945373535
18-05-1990,28.125,28.125,4240,31.25,31.25,29.261709213256836
21-05-1990,28.75,31.25,1560,31.25,31.25,29.261709213256836
22-05-1990,28.75,31.25,1880,31.25,30.0,28.09123992919922
23-05-1990,30.0,30.0,0,30.0,30.0,28.09123992919922
24-05-1990,28.75,28.75,120,28.75,28.75,26.920764923095703
25-05-1990,29.375,29.375,120,30.0,29.375,27.506004333496094
29-05-1990,30.0,30.0,1880,31.25,31.25,29.261709213256836
30-05-1990,31.25,31.25,1080,32.5,31.25,29.261709213256836
31-05-1990,31.25,31.25,1680,32.5,32.5,30.432172775268555
01-06-1990,32.5,32.5,0,32.5,32.5,30.432172775268555
04-06-1990,31.875,32.5,5560,34.375,34.375,32.18787384033203
05-06-1990,33.125,34.375,4360,36.25,34.375,32.18787384033203
06-06-1990,34.375,34.375,17240,35.625,35.0,32.77311325073242
07-06-1990,34.375,35.0,120,36.25,36.25,33.943580627441406
08-06-1990,34.375,36.25,480,36.25,34.375,32.18787384033203
11-06-1990,34.375,34.375,2120,35.0,34.6875,32.48049545288086
12-06-1990,34.375,34.375,160,34.375,34.375,32.18787384033203
13-06-1990,34.375,34.375,2800,37.5,37.5,35.11405563354492
14-06-1990,35.0,36.875,1760,36.875,35.625,33.35835266113281
15-06-1990,35.625,35.625,480,36.25,35.625,33.35835266113281
18-06-1990,35.625,35.625,0,35.625,35.625,33.35835266113281
19-06-1990,35.625,35.625,600,37.5,36.875,34.528812408447266
20-06-1990,35.625,36.875,11840,36.875,35.625,33.35835266113281
21-06-1990,35.625,35.625,9040,36.875,35.625,33.35835266113281
22-06-1990,35.625,35.625,16120,36.875,36.875,34.528812408447266
25-06-1990,35.0,36.875,19720,37.5,37.5,35.11405563354492
26-06-1990,37.5,37.5,0,37.5,37.5,35.11405563354492
27-06-1990,36.875,36.875,80,36.875,36.875,34.528812408447266
28-06-1990,36.875,36.875,0,36.875,36.875,34.528812408447266
29-06-1990,34.375,36.875,3880,36.875,34.375,32.18787384033203
02-07-1990,35.0,35.0,17720,35.625,35.0,32.77311325073242
03-07-1990,35.625,35.625,1400,36.875,35.625,33.35835266113281
05-07-1990,36.25,36.25,240,36.25,36.25,33.943580627441406
06-07-1990,36.25,36.25,1200,36.25,36.25,33.943580627441406
09-07-1990,33.125,35.0,3040,35.0,33.125,31.01740837097168
10-07-1990,33.75,33.75,30560,36.25,35.625,33.35835266113281
11-07-1990,35.0,35.625,15280,36.875,36.5625,34.2361946105957
12-07-1990,36.25,36.5625,11840,40.0,38.75,36.28451919555664
13-07-1990,33.125,36.25,6200,36.25,36.25,33.943580627441406
16-07-1990,33.125,35.625,9280,35.625,35.625,33.35835266113281
17-07-1990,36.25,36.25,44800,37.5,37.5,35.11405563354492
18-07-1990,36.25,37.5,19720,41.25,40.0,37.454994201660156
19-07-1990,40.0,40.0,20000,41.25,40.625,38.040225982666016
20-07-1990,40.0,40.625,1280,41.25,41.25,38.62545394897461
23-07-1990,40.0,41.25,22720,41.25,40.0,37.454994201660156
24-07-1990,38.75,40.0,28880,40.0,39.0625,36.57713317871094
25-07-1990,36.25,39.0625,60040,40.0,36.25,33.943580627441406
26-07-1990,36.25,36.25,41760,38.75,38.75,36.28451919555664
27-07-1990,36.25,38.75,240,38.75,36.25,33.943580627441406
30-07-1990,35.625,36.25,2920,38.125,35.625,33.35835266113281
31-07-1990,32.5,35.625,25840,35.625,33.125,31.01740837097168
01-08-1990,32.5,32.8125,1599560,33.125,32.8125,30.724788665771484
02-08-1990,32.1875,32.5,554320,32.8125,32.5,30.432172775268555
03-08-1990,31.5625,32.8125,478760,32.8125,31.875,29.846940994262695
06-08-1990,30.625,31.875,110120,31.875,31.25,29.261709213256836
07-08-1990,30.625,31.5625,76560,31.5625,31.25,29.261709213256836
08-08-1990,30.625,31.25,77840,31.875,31.25,29.261709213256836
09-08-1990,31.25,31.5625,109120,32.8125,32.1875,30.13956069946289
10-08-1990,31.875,32.1875,121120,33.4375,33.125,31.01740837097168
13-08-1990,32.5,32.5,93560,34.0625,33.75,31.602645874023438
14-08-1990,33.4375,33.4375,309880,36.5625,36.25,33.943580627441406
15-08-1990,35.625,35.9375,244360,36.25,36.25,33.943580627441406
16-08-1990,35.3125,36.25,112560,36.25,35.9375,33.650962829589844
17-08-1990,33.125,35.0,70760,35.0,33.75,31.602645874023438
20-08-1990,33.4375,33.4375,93360,34.0625,33.4375,31.310029983520508
21-08-1990,31.875,33.75,110360,33.75,33.125,31.01740837097168
22-08-1990,32.5,32.5,239280,33.75,33.4375,31.310029983520508
23-08-1990,30.625,32.5,46120,32.5,30.625,28.676469802856445
24-08-1990,30.9375,31.5625,69960,31.875,30.9375,28.969087600708008
27-08-1990,31.25,32.1875,100680,32.5,32.5,30.432172775268555
28-08-1990,31.875,31.875,133480,33.75,33.125,31.01740837097168
29-08-1990,33.4375,33.75,75400,34.0625,33.4375,31.310029983520508
30-08-1990,33.4375,34.0625,79240,34.6875,33.75,31.602645874023438
31-08-1990,33.75,33.75,36000,34.375,33.75,31.602645874023438
04-09-1990,33.75,33.75,24800,34.375,33.75,31.602645874023438
05-09-1990,33.75,34.375,37880,34.375,33.75,31.602645874023438
06-09-1990,33.125,34.375,85760,34.375,33.75,31.602645874023438
07-09-1990,33.4375,33.4375,53760,34.375,34.375,32.18787384033203
10-09-1990,33.75,34.375,88440,36.25,35.625,33.35835266113281
11-09-1990,35.0,35.625,45560,35.9375,35.625,33.35835266113281
12-09-1990,35.0,35.625,146360,36.25,35.9375,33.650962829589844
13-09-1990,35.3125,36.25,140520,36.5625,35.3125,33.06572723388672
14-09-1990,35.0,35.3125,83160,35.9375,35.625,33.35835266113281
17-09-1990,35.0,35.0,89000,35.9375,35.9375,33.650962829589844
18-09-1990,35.0,35.625,83120,36.5625,36.25,33.943580627441406
19-09-1990,36.25,36.875,73760,37.1875,37.1875,34.82143020629883
20-09-1990,36.5625,37.1875,40080,37.1875,36.5625,34.2361946105957
21-09-1990,36.25,37.1875,48040,37.1875,36.25,33.943580627441406
24-09-1990,35.9375,36.875,29320,37.1875,35.9375,33.650962829589844
25-09-1990,35.9375,35.9375,133840,36.875,36.25,33.943580627441406
26-09-1990,35.9375,36.875,30720,36.875,36.5625,34.2361946105957
27-09-1990,32.5,35.9375,45360,35.9375,32.8125,30.724788665771484
28-09-1990,29.375,32.5,171200,32.5,31.5625,29.554325103759766
01-10-1990,31.25,31.5625,250560,34.6875,34.6875,32.48049545288086
02-10-1990,34.375,34.6875,243240,35.625,34.6875,32.48049545288086
03-10-1990,34.0625,34.6875,178640,34.6875,34.375,32.18787384033203
04-10-1990,33.4375,33.75,89840,34.375,34.375,32.18787384033203
05-10-1990,33.4375,34.375,122400,34.375,33.75,31.602645874023438
08-10-1990,33.75,33.75,42120,34.6875,33.75,31.602645874023438
09-10-1990,32.8125,34.6875,62360,34.6875,32.8125,30.724788665771484
10-10-1990,32.5,33.125,43400,33.125,32.8125,30.724788665771484
11-10-1990,31.25,32.8125,99360,32.8125,32.1875,30.13956069946289
12-10-1990,30.9375,32.1875,59280,32.1875,30.9375,28.969087600708008
15-10-1990,30.9375,30.9375,52160,33.125,33.125,31.01740837097168
16-10-1990,32.1875,33.125,39800,33.125,32.1875,30.13956069946289
17-10-1990,32.1875,32.1875,67800,34.0625,33.4375,31.310029983520508
18-10-1990,33.4375,33.4375,95000,34.6875,34.0625,31.895261764526367
19-10-1990,34.375,35.3125,67160,35.625,35.0,32.77311325073242
22-10-1990,35.0,35.625,34000,35.625,35.3125,33.06572723388672
23-10-1990,34.375,35.0,41040,35.3125,35.0,32.77311325073242
24-10-1990,34.6875,34.6875,25160,35.3125,35.0,32.77311325073242
25-10-1990,35.0,35.625,112000,36.5625,35.625,33.35835266113281
26-10-1990,34.375,34.6875,8600,35.3125,34.375,32.18787384033203
29-10-1990,33.75,35.3125,27320,35.3125,34.375,32.18787384033203
30-10-1990,33.4375,34.0625,24040,34.375,33.75,31.602645874023438
31-10-1990,34.375,34.375,69400,36.25,35.9375,33.650962829589844
01-11-1990,35.3125,35.9375,38560,35.9375,35.3125,33.06572723388672
02-11-1990,35.3125,36.25,4840,36.25,36.25,33.943580627441406
05-11-1990,35.3125,36.25,11280,36.25,36.25,33.943580627441406
06-11-1990,35.0,36.25,26080,36.25,35.0,32.77311325073242
07-11-1990,34.375,35.3125,15680,35.3125,34.375,32.18787384033203
08-11-1990,34.375,34.375,24440,35.0,35.0,32.77311325073242
09-11-1990,34.375,35.3125,28480,35.3125,35.0,32.77311325073242
12-11-1990,34.0625,34.0625,93000,34.6875,34.0625,31.895261764526367
13-11-1990,34.0625,34.0625,135600,34.6875,34.0625,31.895261764526367
14-11-1990,34.0625,34.0625,49920,35.625,35.625,33.35835266113281
15-11-1990,35.0,35.625,25560,35.9375,35.9375,33.650962829589844
16-11-1990,35.3125,35.3125,78360,37.8125,37.8125,35.40666580200195
19-11-1990,37.8125,37.8125,73800,39.0625,38.4375,35.99189758300781
20-11-1990,37.8125,38.4375,72560,38.75,37.8125,35.40666580200195
21-11-1990,35.9375,37.8125,79040,38.4375,35.9375,33.650962829589844
23-11-1990,35.3125,35.9375,44320,36.5625,35.625,33.35835266113281
26-11-1990,33.4375,34.375,30640,34.6875,34.0625,31.895261764526367
27-11-1990,34.0625,34.0625,30600,35.625,35.625,33.35835266113281
28-11-1990,35.0,35.3125,104560,35.9375,35.9375,33.650962829589844
29-11-1990,35.0,35.9375,71200,35.9375,35.9375,33.650962829589844
30-11-1990,35.3125,35.3125,7880,35.9375,35.3125,33.06572723388672
03-12-1990,35.625,35.625,63280,37.5,37.5,35.11405563354492
04-12-1990,36.875,37.5,89280,38.4375,37.8125,35.40666580200195
05-12-1990,37.5,37.5,23880,38.125,38.125,35.699283599853516
06-12-1990,37.5,38.125,140720,38.4375,37.8125,35.40666580200195
07-12-1990,37.5,38.4375,22920,38.4375,37.8125,35.40666580200195
10-12-1990,37.5,38.125,20480,38.125,37.8125,35.40666580200195
11-12-1990,37.5,38.4375,28760,38.4375,38.4375,35.99189758300781
12-12-1990,37.5,38.4375,42200,39.0625,38.75,36.28451919555664
13-12-1990,38.75,39.6875,16400,39.6875,39.0625,36.57713317871094
14-12-1990,37.1875,39.0625,57640,39.375,37.8125,35.40666580200195
17-12-1990,36.25,36.875,16320,37.5,36.875,34.528812408447266
18-12-1990,33.75,36.25,181560,36.25,34.375,32.18787384033203
19-12-1990,29.375,34.6875,900920,35.0,31.875,29.846940994262695
20-12-1990,28.4375,29.375,795440,31.875,28.4375,26.628154754638672
21-12-1990,22.8125,28.4375,614680,28.4375,24.0625,22.53151512145996
24-12-1990,24.0625,24.6875,211360,25.3125,25.3125,23.701984405517578
26-12-1990,25.3125,25.625,139680,28.125,28.125,26.335540771484375
27-12-1990,26.5625,28.125,166680,28.4375,26.875,25.165067672729492
28-12-1990,25.625,26.5625,178800,26.875,26.25,24.579833984375
31-12-1990,25.9375,26.5625,116120,27.8125,27.5,25.898292541503906
02-01-1991,25.9375,26.875,65480,27.5,26.5625,25.01539421081543
03-01-1991,25.625,26.5625,65240,26.5625,25.9375,24.426799774169922
04-01-1991,23.4375,25.3125,277000,25.625,24.0625,22.6610050201416
07-01-1991,22.1875,23.75,394760,23.75,22.8125,21.483810424804688
08-01-1991,22.5,22.8125,297040,23.4375,23.125,21.77811050415039
09-01-1991,22.8125,23.75,155600,24.0625,23.125,21.77811050415039
10-01-1991,22.8125,23.4375,90080,24.375,24.0625,22.6610050201416
11-01-1991,23.75,24.375,83400,25.0,25.0,23.543903350830078
14-01-1991,23.75,24.375,70680,25.0,24.375,22.95530891418457
15-01-1991,24.6875,25.0,172840,26.25,25.3125,23.838205337524414
16-01-1991,25.625,25.625,133280,29.0625,28.4375,26.78118896484375
17-01-1991,28.4375,30.0,218280,30.0,28.4375,26.78118896484375
18-01-1991,27.5,29.0625,57080,29.0625,28.4375,26.78118896484375
21-01-1991,26.5625,27.8125,51080,27.8125,27.5,25.898292541503906
22-01-1991,25.3125,27.5,114440,27.5,25.3125,23.838205337524414
23-01-1991,25.3125,25.9375,167000,28.75,28.4375,26.78118896484375
24-01-1991,28.4375,28.75,301920,32.8125,32.1875,30.31277847290039
25-01-1991,31.5625,32.5,182000,33.75,31.875,30.01848030090332
28-01-1991,29.0625,31.875,131480,31.875,29.0625,27.36978530883789
29-01-1991,27.5,29.375,259840,29.6875,28.75,27.07548713684082
30-01-1991,28.75,28.75,137880,29.6875,29.6875,27.958383560180664
31-01-1991,29.0625,29.0625,60320,30.0,30.0,28.252683639526367
01-02-1991,29.375,30.0,92880,31.5625,30.9375,29.13558006286621
04-02-1991,30.625,31.5625,163640,33.75,33.75,31.784271240234375
05-02-1991,33.4375,33.75,101600,35.3125,34.375,32.372867584228516
06-02-1991,33.75,34.6875,149440,35.9375,35.0,32.96146774291992
07-02-1991,35.0,35.625,85640,36.875,35.9375,33.844364166259766
08-02-1991,35.3125,35.9375,99640,37.5,37.5,35.31585693359375
11-02-1991,36.875,37.5,199640,40.0,40.0,37.67024230957031
12-02-1991,38.75,40.0,95840,40.0,40.0,37.67024230957031
13-02-1991,37.8125,40.0,90640,40.0,39.375,37.08163833618164
14-02-1991,38.75,39.6875,70640,40.0,38.75,36.49306106567383
15-02-1991,37.5,38.75,82120,39.375,38.125,35.90444564819336
19-02-1991,36.25,37.5,69840,37.5,37.1875,35.02155303955078
20-02-1991,35.0,37.1875,67360,37.1875,35.0,32.96146774291992
21-02-1991,34.375,35.3125,51720,35.3125,34.375,32.372867584228516
22-02-1991,34.6875,34.6875,69240,38.125,37.1875,35.02155303955078
25-02-1991,36.875,37.8125,93880,38.4375,37.5,35.31585693359375
26-02-1991,35.9375,36.25,101360,36.875,36.5625,34.43296432495117
27-02-1991,35.3125,36.875,63000,36.875,35.625,33.5500602722168
28-02-1991,35.625,36.25,117000,38.4375,38.4375,36.19874954223633
01-03-1991,37.1875,38.4375,90200,38.4375,37.8125,35.61014938354492
04-03-1991,36.25,37.8125,82960,37.8125,36.875,34.727264404296875
05-03-1991,36.875,36.875,80120,37.8125,37.5,35.31585693359375
06-03-1991,36.5625,37.5,115240,37.8125,37.8125,35.61014938354492
07-03-1991,36.875,37.8125,103280,38.125,37.5,35.31585693359375
08-03-1991,35.0,37.5,125400,37.8125,35.0,32.96146774291992
11-03-1991,34.0625,35.625,80160,35.9375,34.0625,32.07856369018555
12-03-1991,31.5625,34.0625,77800,34.6875,31.5625,29.72417449951172
13-03-1991,31.5625,31.5625,173840,34.375,34.375,32.372867584228516
14-03-1991,34.375,35.0,168920,35.9375,34.375,32.372867584228516
15-03-1991,34.375,35.0,193720,35.3125,34.6875,32.66716766357422
18-03-1991,35.0,35.3125,141440,36.25,36.25,34.1386604309082
19-03-1991,35.625,36.25,220600,37.1875,36.25,34.1386604309082
20-03-1991,36.5625,37.5,300920,38.75,38.125,35.90444564819336
21-03-1991,38.125,38.75,190800,40.625,39.6875,37.375938415527344
22-03-1991,39.6875,40.3125,243840,41.5625,40.625,38.25883865356445
25-03-1991,40.0,41.25,240840,42.5,42.1875,39.73033905029297
26-03-1991,43.125,43.125,401880,44.6875,43.75,41.20182418823242
27-03-1991,44.0625,44.375,217280,45.3125,45.0,42.3790283203125
28-03-1991,44.375,45.0,78480,45.625,44.6875,42.08472442626953
01-04-1991,44.375,44.6875,79520,45.3125,44.375,41.79043197631836
02-04-1991,44.375,44.375,175720,50.3125,50.3125,47.38211441040039
03-04-1991,47.8125,50.3125,411600,50.625,48.4375,45.61631774902344
04-04-1991,47.8125,48.4375,177080,48.4375,47.8125,45.16758728027344
05-04-1991,47.1875,48.4375,175560,48.4375,48.125,45.462799072265625
08-04-1991,45.9375,47.8125,139320,47.8125,45.9375,43.39631271362305
09-04-1991,45.3125,45.9375,149040,46.875,45.9375,43.39631271362305
10-04-1991,41.25,44.0625,198480,44.6875,41.5625,39.26332473754883
11-04-1991,40.0,41.5625,231520,42.1875,40.9375,38.67290115356445
12-04-1991,40.625,41.5625,154160,44.0625,43.75,41.32981491088867
15-04-1991,43.125,44.0625,62680,47.5,47.5,44.87237548828125
16-04-1991,46.875,47.5,213760,49.6875,49.6875,46.93886947631836
17-04-1991,49.0625,50.0,163320,50.3125,49.0625,46.348445892333984
18-04-1991,49.0625,49.0625,117960,51.875,49.6875,46.93886947631836
19-04-1991,48.4375,49.6875,89080,49.6875,49.0625,46.348445892333984
22-04-1991,46.875,48.4375,33520,48.75,47.8125,45.16758728027344
23-04-1991,47.5,48.4375,65520,48.75,47.8125,45.16758728027344
24-04-1991,47.8125,47.8125,0,47.8125,47.8125,45.16758728027344
25-04-1991,44.6875,45.9375,25240,45.9375,45.0,42.51067352294922
26-04-1991,45.0,45.625,33000,45.625,45.0,42.51067352294922
29-04-1991,45.0,45.0,30880,45.625,45.0,42.51067352294922
30-04-1991,44.6875,45.0,87720,45.0,44.6875,42.2154541015625
01-05-1991,44.0625,44.0625,2417400,45.0,45.0,42.51067352294922
02-05-1991,44.0625,44.6875,762960,45.0,45.0,42.51067352294922
03-05-1991,44.6875,44.6875,362040,45.0,45.0,42.51067352294922
06-05-1991,44.6875,44.6875,848520,50.3125,49.6875,46.93886947631836
07-05-1991,46.875,49.0625,486600,49.375,48.75,46.0532341003418
08-05-1991,47.5,48.125,361720,49.6875,49.375,46.64365005493164
09-05-1991,48.75,49.0625,190240,50.0,48.75,46.0532341003418
10-05-1991,47.5,48.75,91920,48.75,47.8125,45.16758728027344
13-05-1991,46.875,47.5,93840,48.125,46.875,44.281944274902344
14-05-1991,46.875,46.875,109800,48.75,48.125,45.462799072265625
15-05-1991,47.1875,47.8125,124600,47.8125,47.5,44.87237548828125
16-05-1991,46.875,48.125,153640,48.125,47.5,44.87237548828125
17-05-1991,46.5625,47.5,60560,47.8125,47.1875,44.57716369628906
20-05-1991,46.875,47.5,55520,47.8125,47.5,44.87237548828125
21-05-1991,47.1875,47.1875,87320,48.75,48.4375,45.758018493652344
22-05-1991,48.4375,48.75,127240,50.3125,50.0,47.23407745361328
23-05-1991,49.6875,50.625,265680,50.9375,50.0,47.23407745361328
24-05-1991,49.6875,50.0,107480,50.0,50.0,47.23407745361328
28-05-1991,49.6875,49.6875,129720,51.5625,50.9375,48.119720458984375
29-05-1991,50.3125,50.9375,116680,51.25,50.625,47.82450866699219
30-05-1991,50.625,50.9375,335960,54.375,54.0625,51.07185363769531
31-05-1991,52.1875,53.4375,263240,53.75,53.125,50.18620300292969
03-06-1991,51.25,52.5,93440,52.8125,52.1875,49.300567626953125
04-06-1991,49.375,51.875,93720,51.875,51.25,48.41492462158203
05-06-1991,50.625,51.25,140880,51.875,51.25,48.41492462158203
06-06-1991,51.5625,51.5625,190160,52.8125,51.875,49.00535583496094
07-06-1991,49.6875,50.9375,88800,51.25,49.6875,46.93886947631836
10-06-1991,47.8125,49.6875,59320,49.6875,48.125,45.462799072265625
11-06-1991,47.8125,48.125,124960,49.0625,48.75,46.0532341003418
12-06-1991,47.8125,48.75,98160,49.0625,48.75,46.0532341003418
13-06-1991,48.4375,48.75,101680,50.3125,49.6875,46.93886947631836
14-06-1991,51.25,51.5625,101640,52.1875,51.5625,48.710140228271484
17-06-1991,50.3125,50.9375,91360,51.25,50.625,47.82450866699219
18-06-1991,50.0,50.625,91040,50.9375,50.625,47.82450866699219
19-06-1991,49.6875,50.0,44560,50.3125,50.0,47.23407745361328
20-06-1991,48.125,49.6875,99640,50.9375,50.9375,48.119720458984375
21-06-1991,50.625,50.625,102480,51.875,51.25,48.41492462158203
24-06-1991,49.6875,50.625,90800,50.625,50.625,47.82450866699219
25-06-1991,49.6875,50.0,86120,51.25,50.0,47.23407745361328
26-06-1991,45.625,49.375,169280,49.375,47.5,44.87237548828125
27-06-1991,47.1875,47.5,117480,48.4375,48.125,45.630916595458984
28-06-1991,46.875,48.125,166040,48.75,47.5,45.038307189941406
01-07-1991,47.8125,47.8125,198800,52.1875,50.625,48.0013542175293
02-07-1991,49.6875,50.0,117360,51.25,50.0,47.40874099731445
03-07-1991,49.0625,49.6875,69520,50.3125,50.3125,47.70505142211914
05-07-1991,50.0,50.0,22840,50.3125,50.3125,47.70505142211914
08-07-1991,49.375,49.6875,66360,50.0,50.0,47.40874099731445
09-07-1991,50.0,50.0,107840,50.625,50.3125,47.70505142211914
