Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,1.53125,0.0,25600,1.578125,1.53125,0.6378252506256104
18-03-1980,1.53125,0.0,81600,1.578125,1.53125,0.6378252506256104
19-03-1980,1.546875,0.0,40000,1.59375,1.546875,0.6443337202072144
20-03-1980,1.53125,0.0,11200,1.578125,1.53125,0.6378252506256104
21-03-1980,1.515625,0.0,19200,1.5625,1.515625,0.6313166618347168
24-03-1980,1.484375,0.0,112000,1.53125,1.484375,0.6182996034622192
25-03-1980,1.46875,0.0,49600,1.515625,1.46875,0.6117916107177734
26-03-1980,1.484375,0.0,17600,1.53125,1.484375,0.6182996034622192
27-03-1980,1.46875,0.0,78400,1.515625,1.46875,0.6117916107177734
28-03-1980,1.46875,0.0,16000,1.515625,1.46875,0.6117916107177734
31-03-1980,1.40625,0.0,128000,1.453125,1.40625,0.5857575535774231
01-04-1980,1.390625,0.0,54400,1.4375,1.390625,0.5792495012283325
02-04-1980,1.40625,0.0,20800,1.453125,1.40625,0.5857575535774231
03-04-1980,1.390625,0.0,8000,1.4375,1.390625,0.5792495012283325
07-04-1980,1.375,0.0,43200,1.421875,1.375,0.5727406740188599
08-04-1980,1.375,0.0,62400,1.421875,1.375,0.5727406740188599
09-04-1980,1.390625,0.0,33600,1.4375,1.390625,0.5792495012283325
10-04-1980,1.421875,0.0,24000,1.46875,1.421875,0.5922660827636719
11-04-1980,1.4375,0.0,33600,1.484375,1.4375,0.5987748503684998
14-04-1980,1.421875,0.0,32000,1.46875,1.421875,0.5922660827636719
15-04-1980,1.421875,0.0,33600,1.46875,1.421875,0.5922660827636719
16-04-1980,1.421875,0.0,76800,1.46875,1.421875,0.5922660827636719
17-04-1980,1.421875,0.0,8000,1.46875,1.421875,0.5922660827636719
18-04-1980,1.46875,0.0,52800,1.515625,1.46875,0.6117916107177734
21-04-1980,1.421875,0.0,70400,1.46875,1.421875,0.5922660827636719
22-04-1980,1.46875,0.0,83200,1.515625,1.46875,0.6117916107177734
23-04-1980,1.46875,0.0,19200,1.515625,1.46875,0.6117916107177734
24-04-1980,1.46875,0.0,3200,1.515625,1.46875,0.6117916107177734
25-04-1980,1.453125,0.0,17600,1.5,1.453125,0.6052831411361694
28-04-1980,1.46875,0.0,56000,1.515625,1.46875,0.6117916107177734
29-04-1980,1.515625,0.0,64000,1.5625,1.515625,0.6313166618347168
30-04-1980,1.515625,0.0,4800,1.5625,1.515625,0.6313166618347168
