Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,22.125,0.0,4300,22.625,22.375,4.933438301086426
22-02-1973,22.125,0.0,4000,22.5,22.5,4.960998058319092
23-02-1973,22.0,0.0,3500,22.5,22.0,4.8507561683654785
26-02-1973,21.75,0.0,2200,22.125,21.875,4.823192596435547
27-02-1973,21.5,0.0,6400,21.875,21.5,4.740508556365967
28-02-1973,21.5,0.0,2200,21.75,21.625,4.768067359924316
01-03-1973,21.5,0.0,6200,21.875,21.625,4.768067359924316
02-03-1973,21.625,0.0,3100,21.875,21.75,4.79563045501709
05-03-1973,20.5,0.0,27800,22.0,20.75,4.575140476226807
06-03-1973,20.875,0.0,7900,21.125,20.875,4.602703094482422
07-03-1973,21.0,0.0,4400,21.375,21.25,4.685385704040527
08-03-1973,21.0,0.0,14200,21.625,21.25,4.685385704040527
09-03-1973,20.875,0.0,3600,21.375,20.875,4.602703094482422
12-03-1973,20.5,0.0,4800,20.875,20.5,4.520019054412842
13-03-1973,20.5,0.0,8400,21.375,21.125,4.657824993133545
14-03-1973,20.75,0.0,9500,21.25,21.0,4.630263805389404
15-03-1973,21.0,0.0,6600,21.375,21.0,4.630263805389404
16-03-1973,20.75,0.0,5900,21.375,20.75,4.575140476226807
19-03-1973,20.625,0.0,5900,21.0,20.625,4.547582626342773
20-03-1973,20.25,0.0,6300,20.5,20.375,4.492458343505859
21-03-1973,20.25,0.0,5700,20.375,20.375,4.492458343505859
22-03-1973,19.875,0.0,7000,20.375,19.875,4.382214546203613
23-03-1973,19.625,0.0,10400,20.0,20.0,4.4097771644592285
26-03-1973,20.0,0.0,5700,20.25,20.25,4.464897155761719
27-03-1973,20.0,0.0,8300,20.375,20.25,4.464897155761719
28-03-1973,20.125,0.0,3500,20.5,20.25,4.464897155761719
29-03-1973,20.0,0.0,34400,20.625,20.5,4.520019054412842
30-03-1973,20.5,0.0,3400,20.75,20.625,4.547582626342773
02-04-1973,19.875,0.0,19000,20.75,19.875,4.382214546203613
03-04-1973,19.75,0.0,7700,19.875,19.875,4.382214546203613
04-04-1973,19.5,0.0,17200,19.875,19.5,4.299530506134033
05-04-1973,19.25,0.0,7400,19.625,19.625,4.327091217041016
06-04-1973,19.25,0.0,9300,19.625,19.375,4.271970748901367
09-04-1973,19.5,0.0,5500,20.125,20.0,4.4097771644592285
10-04-1973,19.625,0.0,22500,20.125,19.875,4.382214546203613
11-04-1973,19.875,0.0,10800,20.0,19.875,4.382214546203613
12-04-1973,19.75,0.0,22900,20.125,20.0,4.4097771644592285
13-04-1973,20.25,0.0,7600,20.625,20.5,4.520019054412842
16-04-1973,20.375,0.0,3000,20.75,20.625,4.547582626342773
17-04-1973,20.75,0.0,1900,21.0,20.75,4.575140476226807
18-04-1973,20.875,0.0,1800,21.125,21.125,4.657824993133545
19-04-1973,21.125,0.0,7000,22.25,21.875,4.823192596435547
23-04-1973,22.0,0.0,18900,22.5,22.125,4.878314018249512
24-04-1973,21.875,0.0,5400,22.25,21.875,4.823192596435547
25-04-1973,20.875,0.0,3800,21.375,21.25,4.748334884643555
26-04-1973,21.125,0.0,3100,21.375,21.25,4.748334884643555
27-04-1973,21.125,0.0,3800,21.5,21.25,4.748334884643555
30-04-1973,21.0,0.0,5700,21.5,21.0,4.692471981048584
01-05-1973,21.125,0.0,6900,21.5,21.125,4.720404148101807
02-05-1973,21.0,0.0,5000,21.5,21.5,4.804199695587158
03-05-1973,21.25,0.0,3800,21.75,21.75,4.860060691833496
04-05-1973,22.0,0.0,6800,22.625,22.375,4.999721050262451
