Date,Low,Open,Volume,High,Close,Adjusted Close
08-08-1997,36.4375,37.6875,245500,37.6875,37.0,31.403522491455078
11-08-1997,36.125,37.0,243600,37.25,36.8125,31.244382858276367
12-08-1997,36.6875,36.75,405500,37.0,36.9375,31.350482940673828
13-08-1997,35.75,37.0,405700,37.5,37.5,31.82788848876953
14-08-1997,36.375,37.25,195600,37.375,36.875,31.297426223754883
15-08-1997,35.75,36.625,260500,36.75,36.0625,30.607826232910156
18-08-1997,35.625,36.1875,180600,36.25,36.0625,30.607826232910156
19-08-1997,34.75,36.0,703300,36.125,36.125,30.660863876342773
20-08-1997,35.25,36.0,1029500,36.25,35.5625,30.18345069885254
21-08-1997,35.125,35.5,1406500,35.75,35.3125,29.971277236938477
22-08-1997,34.75,34.875,157300,35.3125,35.3125,29.971277236938477
25-08-1997,35.9375,36.0,1698400,36.875,36.75,31.191333770751953
26-08-1997,37.0,37.0,589700,38.375,38.0,32.25226593017578
27-08-1997,37.625,38.0,716300,38.3125,37.6875,31.987031936645508
28-08-1997,37.4375,37.75,1333100,39.1875,39.125,33.20710372924805
29-08-1997,39.25,39.25,1840400,40.0,39.9375,33.8967170715332
02-09-1997,39.75,39.9375,1023700,42.0,41.75,35.43506622314453
03-09-1997,42.0,42.0,788200,42.75,42.5625,36.12466812133789
04-09-1997,41.5,42.0,3477000,44.375,44.0,37.3447265625
05-09-1997,43.75,44.0,907200,44.25,44.0625,37.39777755737305
08-09-1997,43.625,44.0,728300,44.0,43.75,37.132537841796875
09-09-1997,42.75,43.75,669300,43.75,42.875,36.3899040222168
10-09-1997,42.1875,42.625,329500,42.8125,42.3125,35.912471771240234
11-09-1997,41.6875,42.1875,221600,42.25,41.75,35.43506622314453
12-09-1997,41.4375,41.6875,85400,41.75,41.625,35.37131118774414
15-09-1997,41.0,41.875,228600,42.0,41.25,35.05266189575195
16-09-1997,41.125,41.5,348400,41.6875,41.25,35.05266189575195
17-09-1997,40.0625,41.25,285100,41.25,40.3125,34.256004333496094
18-09-1997,40.1875,40.3125,459400,40.875,40.6875,34.574676513671875
19-09-1997,40.25,40.25,137500,40.75,40.3125,34.256004333496094
22-09-1997,39.5,40.3125,188700,40.3125,39.6875,33.724910736083984
23-09-1997,38.5,39.6875,450700,39.6875,39.5,33.565574645996094
24-09-1997,39.5,39.5625,552200,40.25,39.6875,33.724910736083984
25-09-1997,39.625,39.8125,274500,40.0,39.6875,33.724910736083984
26-09-1997,39.6875,39.75,273700,40.875,40.625,34.52156448364258
29-09-1997,40.75,40.8125,234500,41.75,41.1875,34.999542236328125
30-09-1997,41.0,41.4375,277300,42.0,42.0,35.689998626708984
01-10-1997,41.25,41.875,227800,41.9375,41.5,35.265106201171875
02-10-1997,41.125,41.375,116600,41.5,41.375,35.15888595581055
03-10-1997,41.125,41.5,559100,42.0,41.8125,35.53064727783203
06-10-1997,41.625,41.75,684200,43.1875,43.125,36.645965576171875
07-10-1997,43.25,43.375,564100,43.8125,43.6875,37.12394332885742
08-10-1997,42.875,43.625,349800,43.75,43.125,36.645965576171875
09-10-1997,42.4375,43.0,203000,43.0,42.5,36.11486053466797
10-10-1997,42.125,42.5625,251600,42.5625,42.125,35.796199798583984
13-10-1997,41.875,42.375,377100,42.5,41.875,35.58376693725586
