Date,Low,Open,Volume,High,Close,Adjusted Close
13-02-1992,2.0,2.0,18506400,2.09375,2.046875,1.6702455282211304
14-02-1992,2.0625,2.0625,3128000,2.28125,2.25,1.8359955549240112
18-02-1992,2.0625,2.21875,2584800,2.28125,2.0625,1.6829954385757446
19-02-1992,2.03125,2.09375,2454400,2.15625,2.15625,1.7594956159591675
20-02-1992,2.125,2.125,1304000,2.28125,2.21875,1.8104952573776245
21-02-1992,2.21875,2.21875,616800,2.28125,2.28125,1.8614951372146606
24-02-1992,2.21875,2.21875,772800,2.3125,2.3125,1.8869954347610474
25-02-1992,2.25,2.265625,517600,2.3125,2.28125,1.8614951372146606
26-02-1992,2.25,2.3125,851200,2.34375,2.34375,1.9124946594238281
27-02-1992,2.28125,2.28125,555200,2.4375,2.40625,1.9634943008422852
28-02-1992,2.375,2.4375,1108800,2.59375,2.53125,2.0654945373535156
02-03-1992,2.46875,2.59375,873600,2.609375,2.5625,2.0909948348999023
03-03-1992,2.4375,2.546875,512000,2.5625,2.46875,2.0144944190979004
04-03-1992,2.4375,2.46875,163200,2.53125,2.4375,1.9889960289001465
05-03-1992,2.34375,2.53125,707200,2.53125,2.34375,1.9124946594238281
06-03-1992,2.34375,2.390625,765600,2.4375,2.34375,1.9124946594238281
09-03-1992,2.34375,2.34375,766400,2.4375,2.390625,1.9507441520690918
10-03-1992,2.34375,2.34375,93600,2.4375,2.4375,1.9889960289001465
11-03-1992,2.4375,2.5,222400,2.53125,2.453125,2.001744270324707
12-03-1992,2.4375,2.4375,89600,2.53125,2.4375,1.9889960289001465
13-03-1992,2.4375,2.4375,211200,2.5625,2.53125,2.0654945373535156
16-03-1992,2.5,2.5,94400,2.5625,2.5625,2.0909948348999023
17-03-1992,2.46875,2.46875,150400,2.5625,2.46875,2.0144944190979004
18-03-1992,2.46875,2.46875,52000,2.46875,2.46875,2.0144944190979004
19-03-1992,2.4375,2.5625,68800,2.5625,2.4375,1.9889960289001465
20-03-1992,2.4375,2.4375,124800,2.53125,2.53125,2.0654945373535156
23-03-1992,2.4375,2.4375,314400,2.515625,2.484375,2.0272436141967773
24-03-1992,2.4375,2.46875,437600,2.515625,2.4375,1.9889960289001465
25-03-1992,2.4375,2.53125,79200,2.53125,2.46875,2.0144944190979004
26-03-1992,2.40625,2.40625,47200,2.421875,2.40625,1.9634943008422852
27-03-1992,2.4375,2.5,79200,2.5,2.5,2.039994955062866
30-03-1992,2.4375,2.4375,46400,2.5,2.46875,2.0144944190979004
31-03-1992,2.4375,2.4375,107200,2.5,2.5,2.039994955062866
01-04-1992,2.40625,2.4375,356000,2.5,2.4375,1.9889960289001465
02-04-1992,2.4375,2.5,51200,2.5,2.46875,2.0144944190979004
03-04-1992,2.4375,2.4375,116800,2.5,2.46875,2.0144944190979004
06-04-1992,2.4375,2.4375,71200,2.5,2.4375,1.9889960289001465
07-04-1992,2.4375,2.4375,116000,2.5625,2.5,2.039994955062866
08-04-1992,2.4375,2.4375,247200,2.5,2.5,2.039994955062866
09-04-1992,2.4375,2.4375,36000,2.53125,2.46875,2.0144944190979004
10-04-1992,2.46875,2.46875,87200,2.53125,2.46875,2.0144944190979004
13-04-1992,2.46875,2.46875,16000,2.53125,2.46875,2.0144944190979004
14-04-1992,2.46875,2.53125,25600,2.53125,2.46875,2.0144944190979004
15-04-1992,2.4375,2.46875,84800,2.5,2.4375,1.9889960289001465
16-04-1992,2.4375,2.46875,62400,2.5,2.4375,1.9889960289001465
20-04-1992,2.375,2.40625,59200,2.40625,2.375,1.941978931427002
21-04-1992,2.375,2.375,7200,2.375,2.375,1.941978931427002
22-04-1992,2.375,2.375,7200,2.46875,2.46875,2.0186352729797363
23-04-1992,2.375,2.375,179200,2.421875,2.375,1.941978931427002
24-04-1992,2.34375,2.375,252800,2.4375,2.40625,1.9675301313400269
27-04-1992,2.34375,2.34375,62400,2.4375,2.34375,1.9164257049560547
28-04-1992,2.25,2.3125,99200,2.34375,2.25,1.8397694826126099
29-04-1992,2.25,2.34375,552000,2.34375,2.28125,1.8653216361999512
30-04-1992,2.25,2.34375,128000,2.34375,2.25,1.8397694826126099
01-05-1992,2.3125,2.3125,6400,2.3125,2.3125,1.8908741474151611
04-05-1992,2.25,2.25,38400,2.3125,2.3125,1.8908741474151611
05-05-1992,2.203125,2.25,55200,2.25,2.25,1.8397694826126099
06-05-1992,2.1875,2.1875,461600,2.25,2.1875,1.78866446018219
07-05-1992,2.125,2.1875,28800,2.1875,2.125,1.7375606298446655
08-05-1992,2.125,2.125,551200,2.25,2.15625,1.7631124258041382
11-05-1992,2.15625,2.15625,135200,2.25,2.25,1.8397694826126099
12-05-1992,2.15625,2.15625,291200,2.34375,2.21875,1.8142167329788208
13-05-1992,2.234375,2.3125,52800,2.3125,2.234375,1.8269929885864258
14-05-1992,2.21875,2.21875,326400,2.234375,2.21875,1.8142167329788208
15-05-1992,2.21875,2.21875,800,2.21875,2.21875,1.8142167329788208
18-05-1992,2.21875,2.21875,2400,2.21875,2.21875,1.8142167329788208
19-05-1992,2.21875,2.21875,27200,2.21875,2.21875,1.8142167329788208
20-05-1992,2.15625,2.1875,62400,2.25,2.15625,1.7631124258041382
21-05-1992,2.03125,2.15625,151200,2.15625,2.09375,1.71200692653656
22-05-1992,2.03125,2.09375,77600,2.09375,2.0625,1.6864547729492188
26-05-1992,1.75,1.9375,1848800,1.9375,1.921875,1.5714694261550903
27-05-1992,1.875,1.875,980000,2.0,1.96875,1.6097980737686157
28-05-1992,1.84375,1.921875,801600,2.0,1.890625,1.545917272567749
29-05-1992,1.859375,1.90625,256000,1.90625,1.875,1.533141016960144
01-06-1992,1.8125,1.84375,144800,1.90625,1.875,1.533141016960144
02-06-1992,1.8125,1.90625,235200,1.90625,1.859375,1.520364761352539
03-06-1992,1.8125,1.90625,50400,1.90625,1.8125,1.482035756111145
04-06-1992,1.8125,1.8125,874400,1.875,1.875,1.533141016960144
05-06-1992,1.875,1.875,4000,1.875,1.875,1.533141016960144
08-06-1992,1.90625,1.90625,1600,1.90625,1.90625,1.5586929321289062
09-06-1992,1.8125,1.8125,1157600,1.875,1.828125,1.4948126077651978
10-06-1992,1.8125,1.875,16800,1.875,1.8125,1.482035756111145
11-06-1992,1.8125,1.84375,36000,1.875,1.875,1.533141016960144
12-06-1992,1.8125,1.875,104000,1.875,1.8125,1.482035756111145
15-06-1992,1.71875,1.8125,316800,1.8125,1.75,1.430931568145752
16-06-1992,1.71875,1.78125,108000,1.78125,1.78125,1.4564841985702515
17-06-1992,1.71875,1.71875,243200,1.75,1.734375,1.418155312538147
18-06-1992,1.65625,1.6875,1378400,1.703125,1.6875,1.3798269033432007
19-06-1992,1.65625,1.65625,1427200,1.75,1.75,1.430931568145752
22-06-1992,1.6875,1.75,14400,1.75,1.6875,1.3798269033432007
23-06-1992,1.65625,1.65625,6400,1.71875,1.71875,1.4095556735992432
24-06-1992,1.65625,1.703125,1123200,1.703125,1.671875,1.3711131811141968
25-06-1992,1.625,1.75,159200,1.75,1.625,1.3326703310012817
26-06-1992,1.46875,1.59375,258400,1.65625,1.5625,1.2814141511917114
29-06-1992,1.5625,1.5625,1517600,1.59375,1.59375,1.307042121887207
30-06-1992,1.46875,1.59375,27200,1.59375,1.578125,1.294228434562683
01-07-1992,1.59375,1.59375,194400,1.625,1.59375,1.307042121887207
02-07-1992,1.59375,1.6875,143200,1.6875,1.625,1.3326703310012817
06-07-1992,1.609375,1.609375,400000,1.625,1.625,1.3326703310012817
07-07-1992,1.5625,1.6875,1510400,1.6875,1.5625,1.2814141511917114
08-07-1992,1.5,1.5625,1468000,1.625,1.515625,1.242971420288086
09-07-1992,1.46875,1.46875,408800,1.625,1.53125,1.255785584449768
10-07-1992,1.5625,1.5625,88000,1.65625,1.640625,1.3454853296279907
13-07-1992,1.546875,1.65625,198400,1.65625,1.578125,1.294228434562683
14-07-1992,1.53125,1.53125,644000,1.5625,1.5625,1.2814141511917114
15-07-1992,1.59375,1.609375,330400,1.65625,1.640625,1.3454853296279907
16-07-1992,1.546875,1.625,175200,1.625,1.578125,1.294228434562683
17-07-1992,1.4375,1.5,673600,1.5,1.484375,1.2173439264297485
20-07-1992,1.4375,1.5,31200,1.5625,1.5,1.2301576137542725
21-07-1992,1.53125,1.53125,5600,1.53125,1.53125,1.255785584449768
22-07-1992,1.4375,1.4375,659200,1.5625,1.4375,1.1789008378982544
23-07-1992,1.4375,1.5625,177600,1.5625,1.53125,1.255785584449768
24-07-1992,1.4375,1.4375,48000,1.484375,1.484375,1.2173439264297485
27-07-1992,1.4375,1.4375,4000,1.53125,1.53125,1.255785584449768
28-07-1992,1.46875,1.5,587200,1.515625,1.46875,1.204529881477356
29-07-1992,1.46875,1.46875,30400,1.53125,1.53125,1.255785584449768
30-07-1992,1.46875,1.484375,1344000,1.625,1.625,1.3326703310012817
31-07-1992,1.5625,1.625,6400,1.625,1.5625,1.2814141511917114
03-08-1992,1.5625,1.5625,77600,1.6875,1.6875,1.383927583694458
04-08-1992,1.625,1.625,247200,1.671875,1.625,1.3326703310012817
05-08-1992,1.6875,1.703125,283200,1.71875,1.6875,1.383927583694458
06-08-1992,1.625,1.625,7200,1.703125,1.703125,1.396741509437561
07-08-1992,1.625,1.625,301600,1.65625,1.65625,1.3582991361618042
10-08-1992,1.703125,1.71875,80000,1.71875,1.703125,1.396741509437561
11-08-1992,1.625,1.671875,299200,1.6875,1.625,1.3326703310012817
12-08-1992,1.5625,1.75,232000,1.75,1.625,1.3326703310012817
13-08-1992,1.53125,1.5625,480000,1.5625,1.546875,1.2685996294021606
14-08-1992,1.59375,1.59375,6400,1.59375,1.59375,1.307042121887207
17-08-1992,1.53125,1.59375,576800,1.59375,1.53125,1.255785584449768
18-08-1992,1.53125,1.59375,142400,1.59375,1.546875,1.2685996294021606
19-08-1992,1.53125,1.53125,177600,1.5625,1.546875,1.2685996294021606
20-08-1992,1.546875,1.546875,0,1.546875,1.546875,1.2685996294021606
21-08-1992,1.53125,1.53125,27200,1.5625,1.5625,1.2814141511917114
24-08-1992,1.46875,1.46875,38400,1.59375,1.59375,1.307042121887207
25-08-1992,1.5,1.515625,196000,1.53125,1.515625,1.242971420288086
26-08-1992,1.46875,1.46875,2765600,1.5625,1.515625,1.242971420288086
27-08-1992,1.46875,1.46875,93600,1.515625,1.484375,1.2173439264297485
28-08-1992,1.53125,1.53125,8000,1.53125,1.53125,1.255785584449768
31-08-1992,1.46875,1.5625,10400,1.5625,1.46875,1.204529881477356
01-09-1992,1.46875,1.46875,138400,1.546875,1.5,1.2301576137542725
02-09-1992,1.46875,1.46875,20000,1.46875,1.46875,1.204529881477356
03-09-1992,1.5,1.5625,556000,1.59375,1.5625,1.2814141511917114
04-09-1992,1.5,1.5,5600,1.578125,1.578125,1.294228434562683
08-09-1992,1.5,1.546875,352800,1.5625,1.515625,1.242971420288086
09-09-1992,1.5,1.5,652000,1.578125,1.578125,1.294228434562683
10-09-1992,1.53125,1.53125,26400,1.625,1.53125,1.255785584449768
11-09-1992,1.625,1.65625,232800,1.75,1.6875,1.383927583694458
14-09-1992,1.8125,1.8125,1387200,2.25,1.90625,1.5633255243301392
15-09-1992,1.8125,1.9375,123200,1.9375,1.9375,1.5889534950256348
16-09-1992,1.875,1.875,944800,2.1875,2.140625,1.7555370330810547
17-09-1992,1.96875,2.1875,203200,2.1875,1.96875,1.6145820617675781
18-09-1992,2.0,2.03125,519200,2.03125,2.0,1.6402099132537842
21-09-1992,1.921875,2.03125,1224000,2.0625,2.0625,1.6914666891098022
22-09-1992,1.953125,1.953125,854400,2.0625,2.015625,1.6530251502990723
23-09-1992,1.9375,2.0625,35200,2.0625,2.0625,1.6914666891098022
24-09-1992,1.9375,2.0625,23200,2.0625,2.03125,1.6658384799957275
25-09-1992,1.9375,1.9375,62400,2.0,2.0,1.6402099132537842
28-09-1992,1.9375,1.9375,144800,2.03125,1.953125,1.6017680168151855
29-09-1992,1.953125,2.0,18400,2.0625,2.0625,1.6914666891098022
30-09-1992,1.9375,1.9375,3200,1.9375,1.9375,1.5889534950256348
01-10-1992,2.0625,2.0625,41600,2.0625,2.0625,1.6914666891098022
02-10-1992,2.03125,2.0625,102400,2.078125,2.0625,1.6914666891098022
05-10-1992,1.953125,1.953125,156000,1.984375,1.984375,1.6313506364822388
06-10-1992,1.9375,1.9375,102400,2.03125,1.9375,1.5928157567977905
07-10-1992,1.9375,1.9375,18400,2.0,2.0,1.6441959142684937
08-10-1992,1.9375,2.0,456800,2.03125,2.03125,1.6698867082595825
09-10-1992,1.96875,2.03125,23200,2.03125,1.96875,1.6185065507888794
12-10-1992,1.9375,2.03125,6400,2.03125,1.9375,1.5928157567977905
13-10-1992,1.9375,1.9375,253600,2.15625,2.09375,1.721267580986023
14-10-1992,2.0625,2.0625,105600,2.109375,2.109375,1.7341134548187256
15-10-1992,2.03125,2.03125,129600,2.125,2.0625,1.6955769062042236
16-10-1992,2.03125,2.03125,6400,2.125,2.125,1.7469583749771118
19-10-1992,2.0625,2.125,457600,2.125,2.09375,1.721267580986023
20-10-1992,2.0625,2.125,261600,2.15625,2.109375,1.7341134548187256
21-10-1992,2.0625,2.140625,244000,2.140625,2.140625,1.7598034143447876
22-10-1992,2.0625,2.0625,113600,2.140625,2.0625,1.6955769062042236
