Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1997,5.5625,5.8125,7436400,5.8125,5.6875,3.7068755626678467
17-10-1997,5.40625,5.65625,3390400,5.75,5.59375,3.6457746028900146
20-10-1997,5.46875,5.5,3068000,5.625,5.53125,3.6050374507904053
21-10-1997,5.5,5.5625,2382400,5.6875,5.59375,3.6457746028900146
22-10-1997,5.59375,5.6875,1525200,5.75,5.71875,3.727242946624756
23-10-1997,5.53125,5.6875,1622400,5.6875,5.59375,3.6457746028900146
24-10-1997,5.5625,5.65625,813600,5.71875,5.71875,3.727242946624756
27-10-1997,5.375,5.65625,1507200,5.75,5.421875,3.5337507724761963
28-10-1997,4.9375,5.25,2955600,5.6875,5.59375,3.6457746028900146
29-10-1997,5.59375,5.6875,1859200,5.71875,5.65625,3.6865079402923584
30-10-1997,5.375,5.53125,856000,5.5625,5.5,3.5846688747406006
31-10-1997,5.4375,5.4375,561600,5.640625,5.5,3.5846688747406006
03-11-1997,5.53125,5.625,1004000,5.84375,5.734375,3.7374255657196045
04-11-1997,5.6875,5.75,364000,5.875,5.78125,3.7679786682128906
05-11-1997,5.78125,5.8125,324400,6.0625,5.90625,3.8494467735290527
06-11-1997,5.875,5.875,361600,6.25,6.25,4.073487281799316
07-11-1997,6.03125,6.1875,662400,6.625,6.4375,4.195695400238037
10-11-1997,6.15625,6.3125,266800,6.5,6.15625,4.012386798858643
11-11-1997,5.75,5.9375,618000,6.0,6.0,3.9105496406555176
12-11-1997,5.5625,6.0,314800,6.0,5.6875,3.7068755626678467
13-11-1997,5.46875,5.5625,500000,5.625,5.5,3.5846688747406006
14-11-1997,5.3125,5.4375,438000,5.5,5.4375,3.5439369678497314
17-11-1997,5.5,5.5,284000,5.84375,5.8125,3.788343906402588
18-11-1997,5.6875,5.875,1429600,5.875,5.71875,3.727242946624756
19-11-1997,5.5625,5.71875,148400,5.8125,5.5625,3.625403881072998
20-11-1997,5.3125,5.625,1268000,5.625,5.5625,3.625403881072998
21-11-1997,5.5,5.5625,640800,5.625,5.53125,3.6050374507904053
24-11-1997,5.5,5.5,64400,5.59375,5.53125,3.6050374507904053
25-11-1997,5.5,5.5625,326800,5.625,5.515625,3.594853401184082
26-11-1997,5.234375,5.5,463200,5.53125,5.253905773162842,3.424276113510132
28-11-1997,5.25,5.28125,212800,5.3125,5.25,3.4217309951782227
01-12-1997,5.25,5.25,475200,5.375,5.265625,3.431915283203125
02-12-1997,5.28125,5.375,1280800,5.5,5.34375,3.482832908630371
03-12-1997,5.34375,5.4375,934400,5.5,5.5,3.5846688747406006
04-12-1997,5.40625,5.5,681600,5.625,5.546875,3.6152215003967285
05-12-1997,5.4375,5.5,282800,5.75,5.6875,3.7068755626678467
08-12-1997,5.65625,5.6875,227600,5.75,5.71875,3.727242946624756
09-12-1997,5.59375,5.75,124000,5.8125,5.59375,3.6457746028900146
10-12-1997,5.3125,5.625,269600,5.625,5.375,3.512620687484741
11-12-1997,5.15625,5.25,400800,5.375,5.3125,3.4717726707458496
12-12-1997,5.15625,5.375,412400,5.375,5.15625,3.3696634769439697
