Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1970,6.40625,6.40625,73200,6.75,6.75,0.2560923099517822
05-01-1970,6.8125,6.8125,130800,7.03125,7.03125,0.26676273345947266
06-01-1970,6.8125,7.03125,312400,7.15625,6.9375,0.26320600509643555
07-01-1970,6.8125,6.90625,51600,6.90625,6.84375,0.2596490979194641
08-01-1970,6.8125,6.84375,79200,6.9375,6.84375,0.2596490979194641
09-01-1970,6.8125,6.84375,45600,6.90625,6.90625,0.26202037930488586
12-01-1970,6.84375,6.90625,51200,6.90625,6.875,0.2608347535133362
13-01-1970,6.71875,6.875,136800,6.875,6.71875,0.25490668416023254
14-01-1970,6.65625,6.71875,61600,6.78125,6.71875,0.25490668416023254
15-01-1970,6.5625,6.71875,85200,6.71875,6.5625,0.24897843599319458
16-01-1970,6.5,6.5625,158000,6.59375,6.53125,0.2477930635213852
19-01-1970,6.5625,6.5625,56000,6.6875,6.6875,0.2537210285663605
20-01-1970,6.625,6.6875,93600,6.84375,6.84375,0.2596490979194641
21-01-1970,6.71875,6.8125,86800,6.8125,6.71875,0.25490668416023254
22-01-1970,6.65625,6.71875,70000,6.71875,6.71875,0.25490668416023254
23-01-1970,6.65625,6.71875,60000,6.78125,6.75,0.2560923099517822
26-01-1970,6.75,6.75,59600,6.8125,6.8125,0.25846362113952637
27-01-1970,6.75,6.8125,74000,6.90625,6.78125,0.2572779655456543
28-01-1970,6.65625,6.78125,53200,6.8125,6.6875,0.2537210285663605
29-01-1970,6.625,6.6875,53600,6.8125,6.8125,0.25846362113952637
30-01-1970,6.71875,6.8125,44400,6.8125,6.75,0.2560923099517822
02-02-1970,6.65625,6.75,50800,6.8125,6.75,0.257168710231781
03-02-1970,6.65625,6.75,33200,6.78125,6.6875,0.25478750467300415
04-02-1970,6.6875,6.6875,35200,6.75,6.75,0.257168710231781
05-02-1970,6.625,6.71875,56400,6.71875,6.6875,0.25478750467300415
06-02-1970,6.625,6.6875,37600,6.71875,6.71875,0.25597792863845825
09-02-1970,6.65625,6.71875,59200,6.71875,6.71875,0.25597792863845825
10-02-1970,6.65625,6.71875,34800,6.71875,6.71875,0.25597792863845825
11-02-1970,6.65625,6.71875,40000,6.71875,6.6875,0.25478750467300415
12-02-1970,6.65625,6.6875,35200,6.71875,6.65625,0.25359681248664856
13-02-1970,6.59375,6.65625,61600,6.6875,6.59375,0.2512156367301941
16-02-1970,6.5625,6.59375,44800,6.6875,6.59375,0.2512156367301941
17-02-1970,6.5625,6.59375,36800,6.6875,6.625,0.25240641832351685
18-02-1970,6.59375,6.625,47200,6.6875,6.625,0.25240641832351685
19-02-1970,6.625,6.625,30400,6.71875,6.6875,0.25478750467300415
20-02-1970,6.625,6.6875,59200,6.71875,6.71875,0.25597792863845825
24-02-1970,6.65625,6.71875,56400,6.71875,6.6875,0.25478750467300415
25-02-1970,6.6875,6.6875,72400,6.78125,6.75,0.257168710231781
26-02-1970,6.75,6.75,44800,6.8125,6.75,0.257168710231781
27-02-1970,6.78125,6.78125,42000,6.875,6.875,0.26193103194236755
02-03-1970,6.84375,6.875,56000,6.9375,6.90625,0.2631215453147888
03-03-1970,6.875,6.90625,48800,6.96875,6.9375,0.264312207698822
04-03-1970,6.875,6.9375,60000,7.0625,7.0625,0.26907435059547424
05-03-1970,7.0,7.0625,71600,7.09375,7.0,0.2666932940483093
06-03-1970,6.9375,7.0,75200,7.03125,6.96875,0.2655028998851776
09-03-1970,6.9375,6.96875,35200,7.0,7.0,0.2666932940483093
10-03-1970,6.9375,7.0,28400,7.0,6.96875,0.2655028998851776
11-03-1970,6.9375,6.96875,41200,7.03125,6.96875,0.2655028998851776
12-03-1970,6.9375,6.96875,30800,7.0,6.96875,0.2655028998851776
13-03-1970,6.9375,6.96875,32000,6.96875,6.96875,0.2655028998851776
16-03-1970,6.875,6.96875,28800,6.96875,6.875,0.26193103194236755
17-03-1970,6.75,6.8125,44800,6.8125,6.75,0.257168710231781
18-03-1970,6.75,6.75,37200,6.84375,6.75,0.257168710231781
19-03-1970,6.71875,6.75,39600,6.78125,6.71875,0.25597792863845825
20-03-1970,6.6875,6.71875,28000,6.78125,6.78125,0.2583594024181366
23-03-1970,6.65625,6.78125,39600,6.78125,6.65625,0.25359681248664856
24-03-1970,6.65625,6.65625,35200,6.8125,6.71875,0.25597792863845825
25-03-1970,6.78125,6.78125,68400,6.9375,6.875,0.26193103194236755
26-03-1970,6.78125,6.875,48000,6.9375,6.8125,0.25954991579055786
30-03-1970,6.78125,6.8125,51200,6.90625,6.84375,0.26074039936065674
31-03-1970,6.8125,6.84375,42800,6.96875,6.9375,0.264312207698822
01-04-1970,6.875,6.9375,40400,6.96875,6.9375,0.264312207698822
02-04-1970,6.84375,6.9375,40800,6.96875,6.90625,0.2631215453147888
03-04-1970,6.9375,6.9375,68400,7.03125,7.03125,0.2678837776184082
06-04-1970,6.96875,7.03125,40400,7.0625,7.0,0.2666932940483093
07-04-1970,6.96875,7.0,46400,7.03125,7.0,0.2666932940483093
08-04-1970,6.96875,7.0,53600,7.03125,7.03125,0.2678837776184082
09-04-1970,7.0,7.03125,40000,7.0625,7.0625,0.26907435059547424
10-04-1970,7.0,7.0625,47600,7.09375,7.0625,0.26907435059547424
13-04-1970,7.0,7.0625,43200,7.0625,7.0625,0.26907435059547424
14-04-1970,6.90625,7.0625,70800,7.0625,6.90625,0.2631215453147888
15-04-1970,6.9375,6.9375,40000,7.0,6.96875,0.2655028998851776
16-04-1970,6.875,6.96875,49600,6.96875,6.875,0.26193103194236755
17-04-1970,6.84375,6.875,58400,6.9375,6.9375,0.264312207698822
