Date,Low,Open,Volume,High,Close,Adjusted Close
16-03-1999,22.5,22.5,4900,23.25,23.25,12.271139144897461
17-03-1999,23.25,23.25,3100,23.25,23.25,12.271139144897461
18-03-1999,23.25,23.25,100,23.25,23.25,12.271139144897461
19-03-1999,23.25,23.25,500,23.25,23.25,12.271139144897461
22-03-1999,23.25,23.25,0,23.25,23.25,12.271139144897461
23-03-1999,23.25,23.25,0,23.25,23.25,12.271139144897461
24-03-1999,23.0,24.25,2000,24.25,23.0,12.139184951782227
25-03-1999,23.0,23.0,0,23.0,23.0,12.139184951782227
26-03-1999,23.0,23.0,0,23.0,23.0,12.139184951782227
29-03-1999,23.0,23.0,0,23.0,23.0,12.139184951782227
30-03-1999,23.0,23.0,0,23.0,23.0,12.139184951782227
31-03-1999,23.0,23.0,2000,24.25,24.25,12.79892349243164
01-04-1999,24.25,24.25,0,24.25,24.25,12.79892349243164
05-04-1999,24.25,24.25,0,24.25,24.25,12.79892349243164
06-04-1999,24.25,24.25,0,24.25,24.25,12.79892349243164
07-04-1999,24.25,24.25,0,24.25,24.25,12.79892349243164
08-04-1999,24.25,24.25,0,24.25,24.25,12.79892349243164
09-04-1999,24.25,24.25,0,24.25,24.25,12.79892349243164
12-04-1999,21.0,21.0,700,21.0,21.0,11.08360767364502
13-04-1999,21.0,21.0,0,21.0,21.0,11.08360767364502
14-04-1999,23.0,23.0,1400,24.0,24.0,12.666979789733887
15-04-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
16-04-1999,24.5,25.0,200,25.0,24.5,12.930869102478027
19-04-1999,24.5,24.5,0,24.5,24.5,12.930869102478027
20-04-1999,22.0,25.0,200,25.0,22.0,11.611398696899414
21-04-1999,22.0,22.0,500,24.0,24.0,12.666979789733887
22-04-1999,24.0,24.0,100,24.0,24.0,12.666979789733887
23-04-1999,22.0,22.0,7700,23.5,23.5,12.403080940246582
26-04-1999,23.4375,24.0,2100,24.0,24.0,12.666979789733887
27-04-1999,23.0,24.0,5000,26.0,25.0,13.194767951965332
28-04-1999,25.0,26.5,700,26.5,25.0,13.194767951965332
29-04-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
30-04-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
03-05-1999,26.0,26.0,1200,26.0,26.0,13.722557067871094
04-05-1999,26.0,26.0,0,26.0,26.0,13.722557067871094
05-05-1999,26.0,26.0,0,26.0,26.0,13.722557067871094
06-05-1999,26.0,26.0,0,26.0,26.0,13.722557067871094
07-05-1999,26.0,26.0,0,26.0,26.0,13.722557067871094
10-05-1999,26.0,26.0,0,26.0,26.0,13.722557067871094
11-05-1999,26.0,26.0,0,26.0,26.0,13.722557067871094
12-05-1999,22.5,22.5,1400,24.0,24.0,12.666979789733887
13-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
14-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
17-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
18-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
19-05-1999,23.875,23.875,800,24.0,24.0,12.666979789733887
20-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
21-05-1999,24.0,24.0,400,24.0,24.0,12.666979789733887
24-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
25-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
26-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
27-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
28-05-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
01-06-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
02-06-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
03-06-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
04-06-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
07-06-1999,24.0,24.0,400,24.0,24.0,12.666979789733887
08-06-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
09-06-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
10-06-1999,24.0,24.0,2000,25.0,25.0,13.194767951965332
11-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
14-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
15-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
16-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
17-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
18-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
21-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
22-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
23-06-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
24-06-1999,22.75,22.75,400,24.0,24.0,12.666979789733887
25-06-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
28-06-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
29-06-1999,22.75,24.0,1400,24.0,22.75,12.007231712341309
30-06-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
01-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
02-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
06-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
07-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
08-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
09-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
12-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
13-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
14-07-1999,22.75,22.75,0,22.75,22.75,12.007231712341309
15-07-1999,23.0,23.0,800,24.25,24.25,12.79892349243164
16-07-1999,24.25,24.25,0,24.25,24.25,12.79892349243164
19-07-1999,24.5,24.5,1100,24.5,24.5,12.930869102478027
20-07-1999,25.0,25.25,600,25.25,25.0,13.194767951965332
21-07-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
22-07-1999,25.0,25.0,300,25.0,25.0,13.194767951965332
23-07-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
26-07-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
27-07-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
28-07-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
29-07-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
30-07-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
02-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
03-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
04-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
05-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
06-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
09-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
10-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
11-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
12-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
13-08-1999,25.0,25.0,0,25.0,25.0,13.194767951965332
16-08-1999,24.0,24.0,2000,24.75,24.75,13.062826156616211
17-08-1999,24.75,24.75,0,24.75,24.75,13.062826156616211
18-08-1999,24.75,24.75,0,24.75,24.75,13.062826156616211
19-08-1999,24.5,24.5,300,25.5,25.5,13.458658218383789
20-08-1999,25.5,25.5,0,25.5,25.5,13.458658218383789
23-08-1999,25.5,25.5,0,25.5,25.5,13.458658218383789
24-08-1999,25.5,25.5,0,25.5,25.5,13.458658218383789
25-08-1999,25.5,25.5,0,25.5,25.5,13.458658218383789
26-08-1999,23.0,23.0,700,24.375,24.375,12.864898681640625
27-08-1999,24.375,24.375,500,24.375,24.375,12.864898681640625
30-08-1999,24.375,24.375,0,24.375,24.375,12.864898681640625
31-08-1999,25.0,25.0,100,25.0,25.0,13.194767951965332
01-09-1999,23.0,23.0,7000,24.5,24.5,12.930869102478027
02-09-1999,24.5,24.5,2500,24.5,24.5,12.930869102478027
03-09-1999,24.5,24.5,0,24.5,24.5,12.930869102478027
07-09-1999,24.0,24.0,800,25.5,25.5,13.458658218383789
08-09-1999,25.5,25.5,0,25.5,25.5,13.458658218383789
09-09-1999,25.5,25.5,1200,25.5,25.5,13.458658218383789
10-09-1999,25.0,26.5,700,26.5,26.0,13.722557067871094
13-09-1999,25.0,25.0,3900,26.0,25.625,13.524638175964355
14-09-1999,25.625,25.625,0,25.625,25.625,13.524638175964355
15-09-1999,26.5,26.5,900,26.5,26.5,13.986454963684082
16-09-1999,25.5,25.5,2200,26.5,26.5,13.986454963684082
17-09-1999,26.5,26.5,0,26.5,26.5,13.986454963684082
20-09-1999,26.5,26.5,0,26.5,26.5,13.986454963684082
21-09-1999,26.5,26.5,0,26.5,26.5,13.986454963684082
22-09-1999,26.5,26.5,0,26.5,26.5,13.986454963684082
23-09-1999,26.5,26.5,0,26.5,26.5,13.986454963684082
24-09-1999,26.5,26.5,0,26.5,26.5,13.986454963684082
27-09-1999,24.0,24.0,300,24.0,24.0,12.666979789733887
28-09-1999,24.0,24.0,0,24.0,24.0,12.666979789733887
