Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-1994,20.75,21.0,719200,22.5,21.625,4.19141149520874
31-01-1994,21.125,21.5,86900,21.625,21.375,4.14295768737793
01-02-1994,21.125,21.25,56900,21.375,21.25,4.118729591369629
02-02-1994,21.25,21.25,43600,21.5,21.25,4.118729591369629
03-02-1994,21.25,21.25,42900,21.5,21.5,4.167185306549072
04-02-1994,21.125,21.25,56500,21.5,21.125,4.094501972198486
07-02-1994,21.125,21.125,40900,21.5,21.375,4.14295768737793
08-02-1994,21.5,21.5,205400,22.25,22.0,4.264096736907959
09-02-1994,22.125,22.125,76900,22.75,22.25,4.312550067901611
10-02-1994,22.25,22.25,42500,23.0,23.0,4.4579176902771
11-02-1994,22.875,22.875,49400,23.875,23.5,4.5548295974731445
14-02-1994,23.25,23.25,97400,24.5,23.875,4.627512454986572
15-02-1994,23.125,23.75,62100,24.0,23.125,4.4821457862854
16-02-1994,23.125,23.125,26700,23.625,23.375,4.53060245513916
17-02-1994,23.625,23.625,8900,24.125,24.125,4.675967693328857
18-02-1994,24.0,24.125,27900,24.375,24.25,4.700195789337158
22-02-1994,23.75,24.0,25000,24.125,23.75,4.6032867431640625
23-02-1994,23.25,24.0,48100,24.0,23.375,4.53060245513916
24-02-1994,23.0,23.25,48500,23.875,23.25,4.506374359130859
25-02-1994,22.75,23.0,36000,23.0,22.875,4.433692932128906
28-02-1994,22.5,23.125,14500,23.125,22.625,4.385232448577881
01-03-1994,22.5,22.625,74900,23.25,23.0,4.4579176902771
02-03-1994,23.0,23.25,21700,23.75,23.5,4.5548295974731445
03-03-1994,23.0,23.5,8600,23.5,23.0,4.4579176902771
04-03-1994,22.75,23.25,5000,23.25,23.0,4.4579176902771
07-03-1994,22.75,22.75,13200,23.125,22.875,4.433692932128906
08-03-1994,22.25,22.75,9800,22.75,22.625,4.385232448577881
09-03-1994,22.5,22.625,38700,22.625,22.5,4.361007213592529
10-03-1994,22.25,22.375,28800,22.5,22.5,4.361007213592529
11-03-1994,22.0,22.125,5800,22.125,22.0,4.264096736907959
14-03-1994,22.0,22.0,59900,23.75,23.25,4.506374359130859
15-03-1994,22.875,23.5,4400,23.5,22.875,4.433692932128906
16-03-1994,23.0,23.0,10800,23.5,23.375,4.53060245513916
17-03-1994,23.25,23.25,18900,23.5,23.5,4.5548295974731445
18-03-1994,23.25,23.625,7400,23.625,23.25,4.506374359130859
21-03-1994,23.125,23.25,4100,23.25,23.25,4.506374359130859
22-03-1994,23.125,23.125,33600,23.625,23.25,4.506374359130859
23-03-1994,23.25,23.375,1900,23.5,23.375,4.53060245513916
24-03-1994,23.5,23.5,18400,24.0,24.0,4.651742458343506
25-03-1994,23.75,23.75,5300,24.0,23.75,4.6032867431640625
28-03-1994,23.25,23.625,11500,23.625,23.5,4.5548295974731445
29-03-1994,23.25,23.875,4200,23.875,23.25,4.506374359130859
30-03-1994,23.0,23.125,20600,23.125,23.125,4.4821457862854
31-03-1994,23.0,23.0,14200,23.125,23.125,4.4821457862854
04-04-1994,22.75,23.0,29900,23.125,22.75,4.409461975097656
05-04-1994,22.75,23.0,1500,23.125,23.125,4.4821457862854
06-04-1994,23.0,23.125,5100,23.125,23.125,4.4821457862854
07-04-1994,23.25,23.25,3800,23.5,23.375,4.53060245513916
08-04-1994,23.125,23.5,9900,23.5,23.375,4.53060245513916
11-04-1994,23.375,23.375,900,23.5,23.5,4.5548295974731445
12-04-1994,23.25,23.25,1600,23.25,23.25,4.506374359130859
13-04-1994,23.25,23.5,7100,23.5,23.25,4.506374359130859
