Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-2000,12.0,12.0,11192000,12.1875,12.0,6.435686111450195
31-01-2000,12.0,12.0,1880900,12.0625,12.0625,6.469200134277344
01-02-2000,12.0,12.0,367100,12.0625,12.0,6.435686111450195
02-02-2000,12.0,12.0,697400,12.0625,12.0625,6.469200134277344
03-02-2000,12.0,12.0,579800,12.0625,12.0,6.435686111450195
04-02-2000,11.25,12.0,1681900,12.0625,11.375,6.100492000579834
07-02-2000,10.5,11.125,927200,11.125,10.8125,5.798819541931152
08-02-2000,9.75,10.75,795400,10.875,9.875,5.296029090881348
09-02-2000,9.75,9.875,1710100,10.25,10.125,5.430108547210693
10-02-2000,10.4375,10.5,571500,11.25,10.625,5.698263168334961
11-02-2000,10.0,10.75,1062000,10.9375,10.0625,5.396592617034912
14-02-2000,9.75,10.1875,289000,10.3125,9.8125,5.262512683868408
15-02-2000,9.9375,10.0,541400,10.625,10.4375,5.5977044105529785
16-02-2000,10.25,10.5625,360700,10.625,10.5625,5.664741039276123
17-02-2000,10.25,10.875,291600,10.875,10.375,5.56418514251709
18-02-2000,10.3125,10.5,330700,10.75,10.5,5.631223201751709
22-02-2000,9.875,10.25,314500,10.625,10.3125,5.530665397644043
23-02-2000,9.8125,9.9375,494300,10.3125,10.125,5.430108547210693
24-02-2000,9.875,10.125,919900,10.3125,9.9375,5.32955265045166
25-02-2000,10.0,10.3125,1095500,10.625,10.4375,5.5977044105529785
28-02-2000,10.0,10.25,366800,10.3125,10.125,5.430108547210693
29-02-2000,10.0,10.125,1652500,11.25,10.875,5.832338809967041
01-03-2000,10.875,10.875,266700,11.25,11.0,5.899376392364502
02-03-2000,10.8125,10.875,890300,11.9375,11.5,6.167531967163086
03-03-2000,10.875,11.5,160300,11.5,10.9375,5.865859031677246
06-03-2000,10.375,10.5,242800,10.8125,10.75,5.765298366546631
07-03-2000,10.0625,10.625,393500,10.75,10.25,5.497146129608154
08-03-2000,9.875,10.1875,424200,10.5,10.375,5.56418514251709
09-03-2000,10.25,10.3125,310100,10.8125,10.5,5.631223201751709
10-03-2000,10.0,10.5,168900,10.5,10.25,5.497146129608154
13-03-2000,9.5625,10.0,1767400,10.125,9.75,5.228992938995361
14-03-2000,9.75,9.75,660500,10.125,9.875,5.296029090881348
15-03-2000,9.25,9.875,1231100,9.875,9.625,5.161956310272217
16-03-2000,9.5,9.8125,404100,10.25,9.75,5.228992938995361
17-03-2000,9.25,9.75,814800,9.9375,9.5625,5.128436088562012
20-03-2000,9.5,9.6875,473200,9.875,9.625,5.161956310272217
21-03-2000,9.5,9.5625,176200,9.8125,9.625,5.161956310272217
22-03-2000,9.5,9.625,430300,9.75,9.5625,5.128436088562012
23-03-2000,9.5,9.5,477400,9.8125,9.6875,5.1954731941223145
24-03-2000,9.5625,9.5625,236700,9.875,9.75,5.228992938995361
27-03-2000,9.75,9.75,67600,10.0,9.875,5.296029090881348
28-03-2000,9.75,9.875,157900,10.0,9.8125,5.262512683868408
29-03-2000,9.8125,9.8125,253000,9.9375,9.8125,5.262512683868408
30-03-2000,9.8125,9.8125,235200,10.125,9.8125,5.262512683868408
31-03-2000,9.75,9.8125,627300,10.5,10.5,5.631223201751709
03-04-2000,10.0625,10.375,108400,10.375,10.3125,5.530665397644043
04-04-2000,10.0,10.375,411000,10.375,10.0625,5.396592617034912
05-04-2000,9.875,9.9375,196100,10.375,10.25,5.497146129608154
06-04-2000,10.125,10.25,296700,11.125,10.8125,5.798819541931152
07-04-2000,10.25,10.5,262800,10.625,10.5,5.631223201751709
10-04-2000,10.25,10.5,139400,10.75,10.3125,5.530665397644043
11-04-2000,10.25,10.25,315000,10.625,10.5625,5.664741039276123
12-04-2000,10.5625,10.5625,392000,11.0,10.8125,5.798819541931152
13-04-2000,10.625,10.6875,243200,10.8125,10.625,5.698263168334961
14-04-2000,10.0,10.5,269900,10.625,10.125,5.430108547210693
17-04-2000,10.0,10.0,321300,10.375,10.375,5.56418514251709
18-04-2000,10.25,10.375,862200,10.8125,10.625,5.698263168334961
19-04-2000,10.5,10.5,531900,11.25,10.9375,5.865859031677246
20-04-2000,10.625,10.9375,193500,11.0,10.625,5.698263168334961
24-04-2000,10.75,10.75,355700,11.375,10.875,5.832338809967041
25-04-2000,11.0,11.0625,621900,11.5625,11.25,6.0334553718566895
26-04-2000,11.0,11.25,391800,11.375,11.0,5.899376392364502
27-04-2000,10.8125,11.0,246300,11.25,10.8125,5.798819541931152
28-04-2000,11.0,11.125,284100,11.875,11.875,6.368647575378418
01-05-2000,11.375,11.75,138900,11.9375,11.625,6.234568119049072
02-05-2000,11.5625,11.875,159200,11.875,11.75,6.301608085632324
03-05-2000,11.5,11.625,105600,11.6875,11.5625,6.2010498046875
04-05-2000,11.5,11.5625,180500,11.75,11.75,6.301608085632324
05-05-2000,11.5625,11.625,240000,12.0,11.9375,6.402165412902832
08-05-2000,11.75,11.875,117900,12.0,11.875,6.368647575378418
09-05-2000,11.625,11.75,87000,11.875,11.8125,6.3351263999938965
10-05-2000,11.5625,11.75,383700,12.0625,12.0,6.435686111450195
11-05-2000,11.75,11.875,404400,12.0625,12.0,6.435686111450195
12-05-2000,11.9375,12.0,171600,12.125,12.0,6.435686111450195
15-05-2000,12.0,12.0,227300,12.75,12.625,6.770875453948975
16-05-2000,12.125,12.5,251500,12.625,12.375,6.636797904968262
17-05-2000,12.25,12.3125,195300,12.4375,12.375,6.636797904968262
18-05-2000,11.9375,12.25,94500,12.3125,12.0,6.435686111450195
19-05-2000,12.0,12.0,334900,12.25,12.125,6.502721786499023
22-05-2000,11.8125,12.0625,522400,12.1875,11.8125,6.3351263999938965
23-05-2000,11.375,11.75,258000,11.875,11.625,6.234568119049072
24-05-2000,11.25,11.5,209300,11.5625,11.375,6.100492000579834
25-05-2000,11.25,11.25,526000,11.5,11.4375,6.134011268615723
26-05-2000,11.375,11.4375,159000,11.875,11.875,6.368647575378418
30-05-2000,11.25,11.5,217400,11.6875,11.6875,6.268087387084961
31-05-2000,11.5,11.5625,204900,11.75,11.5,6.167531967163086
01-06-2000,11.0,11.375,359100,11.75,11.25,6.0334553718566895
02-06-2000,11.0,11.25,183500,11.375,11.0625,5.932894229888916
05-06-2000,11.0,11.0625,102800,11.375,11.125,5.966416358947754
06-06-2000,11.125,11.125,353700,11.3125,11.3125,6.066972732543945
07-06-2000,11.0,11.3125,303500,11.375,11.25,6.0334553718566895
08-06-2000,11.0625,11.1875,279300,11.25,11.0625,5.932894229888916
09-06-2000,11.0,11.0625,136600,11.375,11.25,6.0334553718566895
12-06-2000,11.0,11.125,215100,11.375,11.375,6.100492000579834
13-06-2000,11.125,11.375,128400,11.5,11.5,6.167531967163086
14-06-2000,11.3125,11.5,137200,11.6875,11.5625,6.2010498046875
15-06-2000,11.125,11.5625,140000,11.8125,11.25,6.0334553718566895
16-06-2000,10.6875,11.125,417700,11.125,10.6875,5.731781482696533
19-06-2000,10.625,10.75,178200,11.125,11.0,5.899376392364502
20-06-2000,10.125,10.8125,183500,10.875,10.5,5.631223201751709
21-06-2000,10.25,10.25,122900,11.0,11.0,5.899376392364502
22-06-2000,10.25,10.875,205200,11.0,10.6875,5.731781482696533
23-06-2000,10.3125,10.4375,69700,10.625,10.5,5.631223201751709
26-06-2000,10.25,10.375,307100,10.6875,10.625,5.698263168334961
27-06-2000,10.5,10.5,203500,11.0,11.0,5.899376392364502
28-06-2000,10.8125,10.875,199200,11.875,11.625,6.234568119049072
29-06-2000,11.375,11.625,292900,12.375,12.125,6.502721786499023
30-06-2000,10.125,12.25,1202100,12.5,10.125,5.430108547210693
03-07-2000,10.875,10.875,174800,11.375,11.3125,6.066972732543945
05-07-2000,11.0,11.375,161500,11.375,11.25,6.0334553718566895
06-07-2000,10.875,11.125,58700,11.25,11.25,6.0334553718566895
07-07-2000,10.875,11.125,82700,11.25,11.125,5.966416358947754
10-07-2000,11.0,11.125,103000,11.3125,11.0,5.899376392364502
11-07-2000,10.875,11.0,206700,11.3125,11.25,6.0334553718566895
12-07-2000,11.25,11.25,54300,11.5,11.5,6.167531967163086
13-07-2000,11.4375,11.4375,146800,11.875,11.6875,6.268087387084961
14-07-2000,11.5625,11.625,173100,11.9375,11.875,6.368647575378418
17-07-2000,11.75,11.8125,148600,12.0,11.9375,6.402165412902832
18-07-2000,11.8125,11.875,123100,12.0,12.0,6.435686111450195
19-07-2000,11.25,11.875,143900,11.875,11.5,6.167531967163086
20-07-2000,11.5625,11.75,80600,11.75,11.625,6.234568119049072
21-07-2000,11.625,11.625,118300,11.875,11.625,6.234568119049072
24-07-2000,11.0,11.5,259700,11.5,11.125,5.966416358947754
25-07-2000,10.875,11.0,32300,11.1875,10.875,5.832338809967041
26-07-2000,10.75,10.875,38800,10.9375,10.8125,5.798819541931152
27-07-2000,10.75,10.75,195300,11.0,10.875,5.832338809967041
28-07-2000,10.75,10.8125,97900,10.9375,10.75,5.765298366546631
31-07-2000,10.8125,10.8125,55200,11.375,11.375,6.100492000579834
01-08-2000,10.8125,11.25,57000,11.25,10.9375,5.865859031677246
02-08-2000,10.625,10.875,105500,11.0,11.0,5.899376392364502
03-08-2000,10.625,11.0,99200,11.0625,10.75,5.765298366546631
04-08-2000,10.625,10.6875,40500,10.9375,10.9375,5.865859031677246
07-08-2000,10.75,10.875,40400,11.25,11.125,5.966416358947754
08-08-2000,10.6875,11.0625,52700,11.1875,10.6875,5.731781482696533
09-08-2000,10.625,10.6875,151500,11.75,11.625,6.234568119049072
10-08-2000,11.0,11.5,68300,11.5,11.0,5.899376392364502
11-08-2000,10.875,10.875,53900,11.5,11.5,6.167531967163086
14-08-2000,11.0625,11.375,92700,11.75,11.4375,6.134011268615723
15-08-2000,11.125,11.5,59000,11.5,11.3125,6.066972732543945
16-08-2000,11.25,11.4375,87800,11.75,11.625,6.234568119049072
17-08-2000,11.5,11.5,160800,11.6875,11.5625,6.2010498046875
18-08-2000,11.0,11.4375,69500,11.4375,11.25,6.0334553718566895
21-08-2000,10.75,11.125,337400,11.125,10.75,5.765298366546631
22-08-2000,10.875,10.875,78100,11.75,11.625,6.234568119049072
23-08-2000,11.25,11.5,74200,11.5,11.3125,6.066972732543945
24-08-2000,11.1875,11.3125,104800,11.375,11.25,6.0334553718566895
25-08-2000,11.3125,11.375,270800,11.75,11.75,6.301608085632324
28-08-2000,11.625,12.0,178400,12.0,11.875,6.368647575378418
29-08-2000,11.75,11.8125,95800,11.875,11.75,6.301608085632324
30-08-2000,11.6875,11.75,106500,11.75,11.6875,6.268087387084961
31-08-2000,11.625,11.6875,131800,11.75,11.6875,6.268087387084961
01-09-2000,11.75,11.875,141300,12.0625,12.0625,6.469200134277344
05-09-2000,12.0625,12.125,535000,13.1875,12.75,6.837913513183594
06-09-2000,12.4375,12.625,120600,12.8125,12.75,6.837913513183594
07-09-2000,12.5,12.75,90400,12.875,12.5625,6.737357139587402
08-09-2000,12.375,12.5,284900,12.9375,12.5,6.7038397789001465
11-09-2000,12.25,12.5,202700,12.5,12.375,6.636797904968262
12-09-2000,12.25,12.375,36300,12.4375,12.3125,6.603280067443848
13-09-2000,12.25,12.25,77900,12.6875,12.6875,6.804391860961914
14-09-2000,12.3125,12.6875,184000,12.75,12.5,6.7038397789001465
15-09-2000,12.0,12.375,380000,12.375,12.125,6.502721786499023
18-09-2000,12.0,12.0625,68900,12.25,12.0625,6.469200134277344
19-09-2000,12.0625,12.125,76900,12.1875,12.125,6.502721786499023
20-09-2000,11.75,12.0,263600,12.1875,11.875,6.368647575378418
21-09-2000,11.125,11.5,83000,11.625,11.3125,6.066972732543945
22-09-2000,10.75,10.9375,97000,11.0,10.8125,5.798819541931152
25-09-2000,10.5,10.75,31300,10.875,10.5,5.631223201751709
26-09-2000,10.3125,10.5,46500,10.5,10.4375,5.5977044105529785
27-09-2000,10.25,10.4375,143000,10.5,10.5,5.631223201751709
28-09-2000,10.5625,10.625,1865000,11.75,11.3125,6.066972732543945
29-09-2000,10.8125,11.3125,75800,11.375,11.0625,5.932894229888916
02-10-2000,10.875,11.0,72700,11.375,11.25,6.0334553718566895
03-10-2000,11.0,11.25,179500,11.4375,11.0,5.899376392364502
04-10-2000,11.0625,11.125,75700,11.375,11.375,6.100492000579834
05-10-2000,10.875,11.25,24700,11.375,10.875,5.832338809967041
