Date,Low,Open,Volume,High,Close,Adjusted Close
12-06-1997,30.875,32.125,19963800,33.0,31.5,25.302188873291016
13-06-1997,31.75,31.75,3661100,32.875,32.375,26.005037307739258
16-06-1997,30.625,32.25,2481700,32.5,30.875,24.800161361694336
17-06-1997,29.125,30.125,2283800,30.25,29.75,23.896514892578125
18-06-1997,28.125,29.75,1749900,29.75,28.375,22.79205322265625
19-06-1997,28.25,28.5,1269900,29.625,29.375,23.59528350830078
20-06-1997,29.375,29.5,859100,30.25,29.5,23.69569969177246
23-06-1997,28.125,29.875,725000,29.875,28.25,22.691652297973633
24-06-1997,27.125,28.5,1212100,29.625,28.875,23.193668365478516
25-06-1997,28.125,29.125,726600,29.125,28.6875,23.04306983947754
26-06-1997,27.625,28.125,534500,28.5,28.25,22.691652297973633
27-06-1997,27.1875,28.125,441500,28.375,27.25,21.888402938842773
30-06-1997,26.25,27.125,796900,27.625,27.375,21.988811492919922
01-07-1997,26.5,27.25,621300,27.3125,26.9375,21.63738441467285
02-07-1997,26.625,26.9375,818700,27.9375,27.8125,22.340225219726562
03-07-1997,26.75,27.5625,696800,28.1875,28.0625,22.541040420532227
07-07-1997,27.0,28.5,1180500,28.625,27.125,21.78799057006836
08-07-1997,27.125,27.25,595000,27.6875,27.6875,22.239816665649414
09-07-1997,26.375,27.6875,958000,27.6875,26.625,21.386371612548828
10-07-1997,25.125,26.25,1069200,26.3125,25.5,20.48272132873535
11-07-1997,25.375,25.625,674600,26.125,25.9375,20.83414077758789
14-07-1997,25.4375,26.1875,471200,26.25,25.6875,20.633329391479492
15-07-1997,25.0,25.3125,513000,25.5625,25.4375,20.43252182006836
16-07-1997,23.75,25.5625,899600,25.5625,23.8125,19.127254486083984
17-07-1997,23.9375,24.0,1286200,26.25,26.0625,20.93454360961914
18-07-1997,25.3125,26.125,346200,26.5,25.875,20.7839412689209
21-07-1997,25.0,25.8125,216600,25.8125,25.3125,20.332117080688477
22-07-1997,25.125,25.125,351200,25.875,25.625,20.583131790161133
23-07-1997,25.0,25.625,507100,26.125,25.0,20.08110809326172
24-07-1997,24.25,25.0,412800,25.75,24.625,19.77988624572754
25-07-1997,24.1875,24.875,253000,25.0,24.625,19.77988624572754
28-07-1997,24.375,24.875,953700,25.4375,25.25,20.281911849975586
29-07-1997,25.5,25.5,1028100,26.6875,26.6875,21.43657684326172
30-07-1997,26.6875,26.8125,801700,27.9375,27.75,22.290019989013672
31-07-1997,26.6875,27.875,458400,28.0,26.8125,21.536983489990234
01-08-1997,26.25,26.3125,250100,27.0,26.625,21.386371612548828
04-08-1997,26.25,26.375,629700,27.875,27.625,22.18962287902832
05-08-1997,26.5,28.125,1157400,28.4375,27.0625,21.737791061401367
06-08-1997,26.25,27.0625,350500,27.125,26.5,21.285966873168945
07-08-1997,25.75,26.5,456200,26.6875,25.75,20.683536529541016
08-08-1997,24.75,25.5,576100,25.6875,25.25,20.281911849975586
11-08-1997,24.5,25.375,370400,25.375,24.75,19.880290985107422
12-08-1997,24.3125,25.0,910300,25.4375,24.3125,19.52887535095215
13-08-1997,23.8125,24.5,416500,25.1875,24.375,19.579072952270508
14-08-1997,23.9375,24.625,309000,24.75,24.0,19.27785301208496
15-08-1997,22.875,24.0,1385300,24.0,23.0625,18.524812698364258
18-08-1997,22.9375,23.5625,551500,23.6875,23.5,18.87624168395996
19-08-1997,23.375,23.375,380800,24.25,24.25,19.478670120239258
20-08-1997,24.6875,24.875,621500,25.625,25.625,20.583131790161133
21-08-1997,24.5,25.375,479600,25.5625,24.75,19.880290985107422
22-08-1997,24.0,24.125,408100,24.625,24.5,19.67948341369629
25-08-1997,24.1875,25.0,230200,25.0625,24.3125,19.52887535095215
26-08-1997,24.125,24.25,296300,24.9375,24.6875,19.83008575439453
27-08-1997,24.25,24.9375,619500,25.0,24.5,19.67948341369629
28-08-1997,24.375,24.5,492400,25.375,25.3125,20.332117080688477
29-08-1997,25.25,25.3125,686100,26.875,26.25,21.085155487060547
02-09-1997,25.5,26.375,414700,26.4375,26.25,21.085155487060547
03-09-1997,26.0,26.25,265000,26.375,26.0625,20.93454360961914
04-09-1997,25.5,26.0,237400,26.3125,25.75,20.683536529541016
05-09-1997,25.5625,26.25,151100,26.4375,25.875,20.7839412689209
08-09-1997,25.3125,25.75,91200,26.0,25.375,20.3823184967041
09-09-1997,24.625,25.25,318400,25.5,24.875,19.980695724487305
10-09-1997,24.1875,24.875,365900,24.875,24.25,19.478670120239258
11-09-1997,24.0,24.0,721200,24.75,24.25,19.478670120239258
12-09-1997,24.0,24.375,234000,24.625,24.4375,19.629274368286133
15-09-1997,24.5,24.6875,855800,25.875,25.1875,20.231712341308594
16-09-1997,25.25,25.625,384100,25.9375,25.5,20.48272132873535
17-09-1997,25.625,25.75,922000,26.4375,26.4375,21.235769271850586
18-09-1997,26.0,26.8125,1183200,27.0625,26.0625,20.93454360961914
19-09-1997,25.4375,25.875,430300,26.6875,26.625,21.386371612548828
22-09-1997,26.125,26.5,754400,27.75,27.625,22.18962287902832
23-09-1997,26.875,27.5625,507200,27.625,27.3125,21.938600540161133
24-09-1997,26.0,27.0,827400,27.0,26.125,20.984752655029297
25-09-1997,24.875,25.875,1051200,26.25,25.3125,20.332117080688477
26-09-1997,25.9375,26.75,1082500,27.0,26.125,20.984752655029297
29-09-1997,26.0,26.0,406300,26.875,26.25,21.085155487060547
30-09-1997,26.0,26.3125,276700,26.3125,26.1875,21.034955978393555
01-10-1997,26.625,27.375,1058000,27.5,27.0,21.687597274780273
02-10-1997,26.625,27.0,486200,27.125,26.625,21.386371612548828
03-10-1997,26.25,26.625,904600,27.125,26.5,21.285966873168945
06-10-1997,26.0,26.5,451000,26.8125,26.625,21.386371612548828
07-10-1997,25.875,26.5,418800,26.5,26.1875,21.034955978393555
08-10-1997,25.3125,25.9375,444200,25.9375,25.4375,20.43252182006836
09-10-1997,25.0,25.1875,337600,26.125,26.0,20.884353637695312
10-10-1997,25.625,25.75,268400,26.4375,26.0,20.884353637695312
13-10-1997,26.0,26.375,233300,26.5,26.25,21.085155487060547
