Date,Low,Open,Volume,High,Close,Adjusted Close
31-12-1981,8.03125,8.140625,109600,8.25,8.1875,0.7896908521652222
04-01-1982,8.125,8.15625,80800,8.15625,8.125,0.7836623787879944
05-01-1982,7.90625,8.03125,138400,8.125,7.90625,0.7625638246536255
06-01-1982,7.65625,7.78125,151600,7.90625,7.71875,0.7444795370101929
07-01-1982,7.625,7.6875,96800,7.71875,7.65625,0.7384511232376099
08-01-1982,7.65625,7.71875,258800,7.75,7.6875,0.7414655685424805
11-01-1982,7.46875,7.59375,160000,7.6875,7.46875,0.7203662991523743
12-01-1982,7.125,7.3125,249200,7.46875,7.28125,0.7022818922996521
13-01-1982,7.125,7.21875,227200,7.3125,7.15625,0.6902257800102234
14-01-1982,7.125,7.1875,52800,7.25,7.1875,0.6932393312454224
15-01-1982,7.1875,7.25,75200,7.3125,7.25,0.6992680430412292
18-01-1982,7.09375,7.1875,243200,7.25,7.09375,0.6841980218887329
19-01-1982,7.21875,7.28125,395600,7.34375,7.3125,0.7052963972091675
20-01-1982,7.3125,7.5,548000,7.65625,7.59375,0.7324230670928955
21-01-1982,7.65625,7.75,395600,7.8125,7.75,0.7474935054779053
22-01-1982,7.6875,7.71875,341600,7.75,7.71875,0.7444795370101929
25-01-1982,7.625,7.6875,253600,7.71875,7.71875,0.7444795370101929
26-01-1982,7.65625,7.75,262800,7.8125,7.65625,0.7384511232376099
27-01-1982,7.5,7.59375,349600,7.65625,7.5,0.7233805060386658
28-01-1982,7.46875,7.53125,154000,7.59375,7.5,0.7233805060386658
29-01-1982,7.5625,7.71875,309600,7.84375,7.8125,0.7535216808319092
01-02-1982,7.625,7.71875,272000,7.78125,7.625,0.7354367971420288
02-02-1982,7.53125,7.625,140400,7.6875,7.625,0.7354367971420288
03-02-1982,7.5625,7.65625,142000,7.75,7.5625,0.729408860206604
04-02-1982,7.53125,7.59375,93600,7.625,7.5625,0.729408860206604
05-02-1982,7.6875,7.8125,149600,7.90625,7.875,0.759550154209137
08-02-1982,7.90625,8.0,177200,8.0625,7.9375,0.7655777335166931
09-02-1982,7.96875,8.0,108400,8.03125,8.0,0.7716060280799866
10-02-1982,7.9375,8.0625,299200,8.15625,7.9375,0.7655777335166931
11-02-1982,7.9375,7.96875,138800,7.96875,7.9375,0.7655777335166931
12-02-1982,7.90625,7.9375,42400,7.96875,7.9375,0.7655777335166931
16-02-1982,7.6875,7.71875,258400,7.75,7.71875,0.7537378668785095
17-02-1982,7.625,7.71875,221200,7.78125,7.625,0.744583010673523
18-02-1982,7.5,7.59375,101200,7.65625,7.5625,0.7384800910949707
19-02-1982,7.40625,7.46875,254400,7.53125,7.40625,0.7232216596603394
22-02-1982,7.4375,7.5,174800,7.5625,7.4375,0.7262735366821289
23-02-1982,7.1875,7.3125,281200,7.40625,7.3125,0.7140675783157349
24-02-1982,7.1875,7.25,208000,7.3125,7.21875,0.7049128413200378
25-02-1982,7.1875,7.21875,405200,7.25,7.1875,0.7018607258796692
26-02-1982,7.15625,7.21875,72000,7.25,7.15625,0.6988095641136169
01-03-1982,7.125,7.21875,287200,7.28125,7.125,0.6957578063011169
02-03-1982,7.125,7.1875,124400,7.21875,7.125,0.6957578063011169
03-03-1982,7.0625,7.09375,262800,7.09375,7.0625,0.6896548271179199
04-03-1982,6.96875,7.03125,157600,7.09375,6.96875,0.6805001497268677
05-03-1982,6.875,6.9375,179200,7.0,6.90625,0.6743969917297363
08-03-1982,6.28125,6.53125,782800,6.75,6.28125,0.6133655905723572
09-03-1982,6.28125,6.4375,776400,6.59375,6.46875,0.6316752433776855
10-03-1982,6.59375,6.75,308000,6.90625,6.8125,0.6652422547340393
11-03-1982,6.65625,6.8125,330800,6.9375,6.65625,0.6499847173690796
12-03-1982,6.53125,6.59375,127200,6.625,6.5625,0.6408296227455139
15-03-1982,6.5625,6.59375,90400,6.625,6.625,0.6469330787658691
16-03-1982,6.59375,6.71875,618800,6.84375,6.75,0.6591387987136841
17-03-1982,6.6875,6.75,107200,6.8125,6.78125,0.6621903777122498
18-03-1982,6.75,6.8125,57200,6.84375,6.78125,0.6621903777122498
19-03-1982,6.78125,6.8125,84400,6.84375,6.78125,0.6621903777122498
22-03-1982,6.8125,6.96875,164000,7.09375,7.0625,0.6896548271179199
23-03-1982,6.90625,7.03125,168400,7.125,6.90625,0.6743969917297363
24-03-1982,6.84375,6.9375,237600,7.03125,6.875,0.6713453531265259
25-03-1982,6.875,6.90625,216000,6.9375,6.9375,0.6774485111236572
26-03-1982,6.90625,6.9375,121600,6.96875,6.90625,0.6743969917297363
29-03-1982,6.875,6.9375,52400,6.96875,6.875,0.6713453531265259
30-03-1982,6.8125,6.875,319200,6.90625,6.8125,0.6652422547340393
31-03-1982,6.5,6.65625,320800,6.8125,6.5,0.6347264647483826
01-04-1982,6.46875,6.625,218800,6.78125,6.78125,0.6621903777122498
02-04-1982,6.90625,6.9375,246400,6.96875,6.96875,0.6805001497268677
05-04-1982,6.90625,6.96875,410000,7.0,6.96875,0.6805001497268677
06-04-1982,6.875,6.9375,178800,6.96875,6.90625,0.6743969917297363
07-04-1982,6.84375,6.875,83600,6.90625,6.875,0.6713453531265259
08-04-1982,6.71875,6.78125,164000,6.84375,6.75,0.6591387987136841
12-04-1982,6.5625,6.65625,212400,6.75,6.65625,0.6499847173690796
13-04-1982,6.6875,6.75,404400,6.8125,6.71875,0.6560876369476318
14-04-1982,6.75,6.78125,65200,6.8125,6.78125,0.6621903777122498
15-04-1982,6.78125,6.84375,219200,6.875,6.84375,0.6682933568954468
16-04-1982,6.78125,6.8125,575200,6.84375,6.8125,0.6652422547340393
19-04-1982,6.8125,6.875,898400,6.90625,6.875,0.6713453531265259
20-04-1982,6.875,7.0,666400,7.125,7.0625,0.6896548271179199
21-04-1982,7.03125,7.21875,321600,7.375,7.1875,0.7018607258796692
22-04-1982,7.15625,7.3125,471200,7.4375,7.34375,0.7171189785003662
23-04-1982,7.3125,7.46875,490400,7.59375,7.5625,0.7384800910949707
26-04-1982,7.59375,7.6875,366400,7.78125,7.78125,0.7598405480384827
27-04-1982,7.8125,7.875,494800,7.90625,7.90625,0.7720472812652588
28-04-1982,7.84375,7.96875,573600,8.0625,7.875,0.7689958810806274
29-04-1982,7.71875,7.78125,323200,7.84375,7.71875,0.7537378668785095
30-04-1982,7.6875,7.71875,163200,7.75,7.75,0.7567896246910095
03-05-1982,7.65625,7.71875,137200,7.75,7.71875,0.7537378668785095
04-05-1982,7.71875,7.875,183200,8.0,7.90625,0.7720472812652588
05-05-1982,7.90625,8.03125,551200,8.125,8.0,0.781201958656311
06-05-1982,8.0,8.125,432800,8.25,8.1875,0.799511730670929
07-05-1982,8.28125,8.40625,802400,8.5,8.5,0.8300274610519409
10-05-1982,8.375,8.4375,1247200,8.5,8.40625,0.8208723068237305
11-05-1982,8.1875,8.3125,540000,8.40625,8.375,0.8274174928665161
12-05-1982,8.21875,8.3125,216000,8.375,8.25,0.8150679469108582
13-05-1982,8.1875,8.25,167200,8.28125,8.1875,0.8088934421539307
14-05-1982,8.15625,8.1875,110800,8.21875,8.15625,0.8058058619499207
17-05-1982,7.90625,8.03125,153600,8.125,7.9375,0.7841939926147461
18-05-1982,7.78125,7.84375,148400,7.90625,7.8125,0.7718452215194702
19-05-1982,7.71875,7.78125,121200,7.8125,7.75,0.7656700611114502
20-05-1982,7.71875,7.78125,108800,7.8125,7.8125,0.7718452215194702
21-05-1982,7.6875,7.78125,179200,7.875,7.78125,0.7687569856643677
24-05-1982,7.6875,7.75,125600,7.8125,7.71875,0.7625827789306641
25-05-1982,7.6875,7.75,214800,7.8125,7.6875,0.759495198726654
26-05-1982,7.4375,7.53125,394800,7.625,7.4375,0.7347961068153381
27-05-1982,7.1875,7.3125,390000,7.4375,7.1875,0.7100971341133118
28-05-1982,7.125,7.1875,459200,7.25,7.125,0.7039226293563843
01-06-1982,7.09375,7.15625,567600,7.1875,7.1875,0.7100971341133118
02-06-1982,7.1875,7.25,371200,7.28125,7.25,0.7162723541259766
03-06-1982,7.21875,7.28125,331200,7.34375,7.25,0.7162723541259766
04-06-1982,7.1875,7.25,218800,7.3125,7.1875,0.7100971341133118
07-06-1982,7.125,7.1875,259200,7.25,7.25,0.7162723541259766
08-06-1982,7.21875,7.25,474800,7.25,7.21875,0.7131845951080322
09-06-1982,7.1875,7.21875,62800,7.21875,7.1875,0.7100971341133118
10-06-1982,7.15625,7.21875,62000,7.28125,7.28125,0.7193590402603149
11-06-1982,7.375,7.46875,499600,7.5625,7.5,0.7409709095954895
14-06-1982,7.375,7.40625,219200,7.4375,7.375,0.7286221385002136
15-06-1982,7.25,7.34375,152000,7.40625,7.34375,0.7255343198776245
16-06-1982,7.3125,7.40625,234400,7.46875,7.4375,0.7347961068153381
17-06-1982,7.375,7.40625,120000,7.4375,7.4375,0.7347961068153381
18-06-1982,7.40625,7.4375,210800,7.46875,7.4375,0.7347961068153381
21-06-1982,7.375,7.40625,84800,7.4375,7.40625,0.7317084670066833
22-06-1982,7.40625,7.4375,199600,7.46875,7.46875,0.7378837466239929
23-06-1982,7.46875,7.53125,248400,7.5625,7.53125,0.74405837059021
24-06-1982,7.5,7.5625,338400,7.59375,7.5,0.7409709095954895
25-06-1982,7.53125,7.5625,125200,7.5625,7.5625,0.7471455335617065
28-06-1982,7.5625,7.75,404800,7.9375,7.875,0.778019905090332
29-06-1982,7.90625,7.96875,300400,8.03125,7.96875,0.7872821688652039
30-06-1982,7.78125,7.90625,530800,8.03125,7.875,0.778019905090332
01-07-1982,7.75,7.84375,172400,7.90625,7.75,0.7656700611114502
02-07-1982,7.5625,7.6875,204000,7.78125,7.65625,0.7564078569412231
06-07-1982,7.625,7.6875,122000,7.75,7.75,0.7656700611114502
07-07-1982,7.78125,7.90625,433600,8.03125,7.84375,0.7749323844909668
08-07-1982,7.625,7.78125,366000,7.90625,7.90625,0.7811067700386047
09-07-1982,7.9375,8.03125,582800,8.125,8.09375,0.7996312379837036
