Date,Low,Open,Volume,High,Close,Adjusted Close
29-06-1998,27.9375,28.25,6307500,28.875,28.5625,11.841949462890625
30-06-1998,27.75,28.4375,1537600,28.4375,27.8125,11.531001091003418
01-07-1998,27.125,27.75,593100,28.0,27.875,11.556909561157227
02-07-1998,27.25,27.75,563600,27.75,27.6875,11.479170799255371
06-07-1998,27.125,27.6875,616800,27.6875,27.1875,11.271876335144043
07-07-1998,26.9375,27.1875,623500,27.25,27.0625,11.220051765441895
08-07-1998,27.0,27.0625,392300,27.25,27.25,11.297788619995117
09-07-1998,26.75,27.125,293100,27.1875,27.0,11.194141387939453
10-07-1998,26.3125,27.0,384300,27.0,27.0,11.194141387939453
13-07-1998,26.3125,26.75,385500,26.9375,26.875,11.142313957214355
14-07-1998,26.5,26.8125,668400,27.125,27.0,11.194141387939453
15-07-1998,26.5625,26.875,232800,26.9375,26.9375,11.168225288391113
16-07-1998,26.5,26.8125,403600,26.875,26.625,11.03866195678711
17-07-1998,26.3125,26.625,543500,26.625,26.5,10.986839294433594
20-07-1998,26.0,26.3125,542000,26.375,26.3125,10.909101486206055
21-07-1998,25.875,26.1875,218800,26.3125,26.0,10.77953815460205
22-07-1998,25.75,26.0625,506500,26.0625,26.0625,10.805451393127441
23-07-1998,26.0625,26.0625,446200,26.375,26.3125,10.909101486206055
24-07-1998,26.0,26.125,515800,26.1875,26.125,10.831361770629883
27-07-1998,25.8125,26.0,384800,26.25,26.1875,10.857280731201172
28-07-1998,25.375,26.0625,816900,26.1875,25.75,10.675894737243652
29-07-1998,25.0625,25.5625,522200,25.75,25.5,10.572237968444824
30-07-1998,25.3125,25.375,467900,25.9375,25.75,10.675894737243652
31-07-1998,25.0,25.75,386800,25.75,25.1875,10.442679405212402
03-08-1998,24.5625,25.0,649200,25.125,24.875,10.313119888305664
04-08-1998,23.75,24.6875,617600,24.6875,24.0625,9.976256370544434
05-08-1998,24.125,24.25,501300,25.125,25.125,10.416765213012695
06-08-1998,24.5,25.125,568500,25.125,24.75,10.261290550231934
07-08-1998,24.25,24.625,351500,24.8125,24.4375,10.131726264953613
10-08-1998,24.5,24.5,749400,25.0,24.75,10.261290550231934
11-08-1998,24.0,24.5,358400,24.5625,24.1875,10.028079986572266
12-08-1998,24.125,24.1875,399000,25.125,25.125,10.416765213012695
13-08-1998,24.6875,24.875,206500,25.0625,24.9375,10.339035034179688
14-08-1998,24.5,24.6875,195700,24.875,24.75,10.261290550231934
17-08-1998,24.8125,25.0,520500,25.3125,25.25,10.468589782714844
